ID	Gb1	Gb2	Gb3	Gb4	Gb5	Gb6	Gb7	Gb8	Gb9	Gb10	Gb11	Gb12	Gb13	Gb14
OTU196900221	3744	1551	3705	4585	1549	1190	2447	1877	4819	3359	374	951	1389	3055
OTU196900222	553	454	0	0	0	427	0	830	1312	566	0	0	0	0
OTU196900223	0	268	904	3436	566	491	884	0	1393	1131	515	241	0	1669
OTU196900224	1106	804	1385	3210	690	482	777	1104	2068	1008	358	530	1739	787
OTU196900225	591	373	637	0	183	551	0	640	841	0	0	0	0	0
OTU196900226	663	678	0	0	0	437	0	512	1376	409	450	356	0	0
OTU196900227	819	927	0	1231	406	0	957	1282	1291	1053	475	807	746	1145
OTU196900228	2103	1792	1154	1223	1056	1439	865	2302	1056	1096	983	0	746	0
OTU196900229	0	0	0	670	153	0	0	0	968	0	0	359	0	435
OTU196900230	1038	613	983	2273	798	445	1016	888	1781	1410	1141	605	441	772
OTU196900231	315	534	630	0	0	451	762	634	1307	488	0	0	0	0
OTU196900232	0	318	0	0	190	0	0	454	0	0	0	0	0	0
OTU196900234	0	781	547	458	271	203	938	894	1217	479	0	335	1137	0
OTU196900235	2670	1712	4349	1750	1047	1019	2726	1693	5244	2215	1385	870	1610	1692
OTU196900236	0	0	0	2827	1920	0	3587	2123	4678	0	8961	7844	8557	11975
OTU196900237	375	763	0	0	481	316	521	1024	1273	399	0	493	461	550
OTU196900239	1086	1197	1664	1576	690	671	1232	1218	3058	1118	1831	209	1363	1343
OTU196900241	1863	699	2944	0	338	461	675	1104	2881	817	1642	872	1940	2301
OTU196900242	1559	643	0	0	899	1002	3291	1778	12589	496	10082	6331	6332	11017
OTU196900246	1468	566	1745	786	344	422	596	1512	1151	456	1575	650	2371	2755
OTU196900248	1029	787	0	482	409	0	0	0	0	0	0	0	0	0
OTU196900249	0	772	0	0	301	458	727	1287	2959	794	962	911	770	751
OTU196900250	2009	1023	4062	1074	560	919	1014	1380	2979	1308	1099	532	761	1466
OTU196900252	868	444	896	2219	480	311	842	519	878	1290	475	210	0	363
OTU196900253	558	289	707	0	201	421	359	397	805	538	0	0	0	0
OTU196900255	560	817	0	859	374	339	1143	1086	2037	1108	774	680	351	408
OTU196900256	0	302	0	0	0	0	0	612	0	0	406	0	0	0
