"OTU","ttest.fdr","cortest.p","emp","bar_cat"
"592",1,1,NA,1
"614",-1,-1,NA,0
"152",-1,-1,NA,0
"188",-1,-1,NA,0
"206",-1,-1,NA,0
"256",-1,-1,NA,0
"369",-1,-1,NA,0
"376",-1,-1,NA,-1
"388",-1,-1,NA,0
"410",-1,0,NA,0
"414",-1,-1,NA,0
"420",-1,-1,NA,-1
"495",-1,0,NA,0
"505",-1,-1,NA,-1
"509",-1,0,NA,0
"514",-1,-1,NA,0
"517",0,0,NA,0
"520",-1,-1,NA,0
"522",0,0,NA,0
"537",0,0,NA,0
"538",0,0,NA,0
"590",-1,1,NA,0
"594",-1,-1,NA,1
"598",-1,-1,NA,0
"603",-1,-1,NA,0
"608",-1,-1,NA,1
"620",0,0,NA,0
"631",-1,-1,NA,0
"169",-1,-1,NA,0
"212",-1,-1,NA,0
"272",-1,0,NA,0
"304",-1,-1,NA,0
"306",-1,-1,NA,0
"332",0,0,NA,0
"375",-1,-1,NA,0
"381",-1,-1,NA,-1
"386",-1,-1,NA,0
"393",-1,-1,NA,0
"408",-1,-1,NA,0
"518",0,0,NA,0
"528",0,0,NA,0
"531",0,0,NA,0
"551",-1,-1,NA,0
"600",-1,1,NA,0
"604",-1,1,NA,1
"611",-1,-1,NA,0
"612",-1,-1,NA,0
"166",-1,-1,NA,0
"281",-1,-1,NA,0
"374",-1,-1,NA,0
"402",-1,-1,NA,0
"426",-1,-1,NA,0
"438",-1,-1,NA,0
"526",-1,0,NA,0
"532",0,0,NA,0
"547",0,0,NA,0
"561",-1,-1,NA,0
"565",0,0,NA,0
"571",-1,-1,NA,0
"573",0,0,NA,0
"580",0,0,NA,0
"97",-1,0,NA,0
"232",-1,-1,NA,0
"278",-1,-1,NA,0
"362",-1,-1,NA,0
"421",-1,0,NA,0
"444",-1,-1,NA,0
"506",-1,-1,NA,0
"535",-1,0,NA,0
"540",-1,-1,NA,0
"552",-1,-1,NA,-1
"554",-1,0,NA,0
"558",0,0,NA,0
"563",0,0,NA,0
"578",0,0,NA,0
"613",-1,-1,NA,0
"616",-1,-1,NA,0
"624",-1,-1,NA,0
"630",-1,-1,NA,0
"661",0,0,NA,0
"254",-1,-1,NA,0
"300",-1,-1,NA,0
"322",-1,-1,NA,0
"326",-1,-1,NA,-1
"434",-1,-1,NA,0
"441",-1,-1,NA,-1
"442",-1,0,NA,0
"452",-1,-1,NA,-1
"519",-1,-1,NA,0
"536",-1,-1,NA,0
"550",-1,-1,NA,0
"599",-1,-1,NA,0
"601",-1,-1,NA,0
"623",-1,-1,NA,0
"628",-1,-1,NA,0
"635",-1,-1,NA,0
"648",-1,-1,NA,0
"655",0,0,NA,0
"656",0,0,NA,0
"658",0,0,NA,0
"662",0,0,NA,0
"663",0,0,NA,0
"667",0,0,NA,0
"672",-1,0,NA,0
"411",-1,-1,NA,-1
"415",-1,-1,NA,0
"462",-1,-1,NA,-1
"508",-1,-1,NA,0
"511",-1,-1,NA,0
"542",-1,-1,NA,0
"564",-1,-1,NA,0
"568",-1,-1,NA,0
"581",-1,-1,NA,-1
"593",-1,-1,NA,0
"595",-1,-1,NA,0
"609",-1,-1,NA,0
"610",-1,-1,NA,0
"617",-1,-1,NA,0
"634",-1,-1,NA,0
"636",-1,-1,NA,0
"639",-1,-1,NA,0
"642",-1,-1,NA,0
"644",-1,-1,NA,0
"657",-1,0,NA,0
"664",-1,-1,NA,0
"668",-1,0,NA,0
"671",-1,0,NA,0
"674",-1,0,NA,0
"677",-1,0,NA,0
"602",-1,-1,NA,0
"607",-1,-1,NA,0
"615",-1,-1,NA,0
"621",-1,-1,NA,0
"622",-1,-1,NA,0
"625",-1,-1,NA,0
"626",-1,-1,NA,0
"627",-1,-1,NA,0
"629",-1,-1,NA,-1
"632",-1,-1,NA,-1
"633",-1,-1,NA,-1
"637",-1,-1,NA,-1
"638",-1,-1,NA,-1
"640",-1,-1,NA,-1
"641",-1,-1,NA,-1
"643",-1,-1,NA,-1
"645",-1,-1,NA,-1
"646",-1,-1,NA,-1
"647",-1,-1,NA,-1
"649",-1,-1,NA,0
"652",-1,-1,NA,0
"653",-1,-1,NA,0
"654",-1,-1,NA,0
"659",-1,-1,NA,-1
"660",-1,-1,NA,-1
"665",-1,-1,NA,-1
"666",-1,-1,NA,-1
"669",-1,-1,NA,0
"670",-1,-1,NA,0
"673",-1,-1,NA,0
"675",-1,-1,NA,0
"676",-1,-1,NA,0
"678",-1,-1,NA,0
"679",-1,-1,NA,0
"680",-1,-1,NA,0
"681",-1,-1,NA,0
"682",-1,-1,NA,0
"683",-1,-1,NA,0
"684",-1,-1,NA,0
"685",-1,-1,NA,0
"686",-1,-1,NA,0
"687",-1,-1,NA,0
"688",-1,-1,NA,0
"689",-1,-1,NA,0
"690",-1,-1,NA,0
"691",-1,-1,NA,0
"692",-1,-1,NA,0
