"","Gb1","Gb2","Gb3","Gb4","Gb5","Gb6","Gb7","Gb8","Gb9","Gb10","Gb11","Gb12","Gb13","Gb14","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X196900168",0.49980705410203,0.290344987265571,0.663270818862391,0.140078721926372,0.164158369993054,0.189627228525122,0.298757428417072,0.563942270587327,1,0.374778112217334,0.715829281469476,0.21262637956317,0.748244192328471,0.190244655398626,0.418476499189627,0.466736127189936,0.775143002059206,"X196900168",0.13359713791524,0.648878923912593,"inc.trend"
"X196900171",0.222967674479394,0.128953559292498,0.309662803868607,0.71987453167204,0.146902500653481,0.246492985971944,1,0.663152391740002,0.846214167465365,0.554587435741047,0.165287095930992,0.032412651389736,0.0674392262786443,0.235253114925503,0.483880805088438,0.125098022131219,0.0479911936009837,"X196900171",-0.323797543606688,0.25875093661618,"dec.trend"
"X196900178",0.508360477741585,0.333767643865364,0.589359391965255,0.312920738327904,0.266666666666667,0.305103148751357,0.408469055374593,0.623452768729642,1,0.387404994571118,0.3085776330076,0.684256243213898,0.695982627578719,0.588056460369164,0.473550488599349,0.569218241042345,0.460606434004527,"X196900178",0.327778650230828,0.252601298302448,"inc.trend"
"X196900179",0.390249050232165,0.334107218235542,0.782081046855213,0.968446601941748,0.18910932883073,0.293689320388349,0.435310257492613,0.519734065006332,1,0.306247361756015,0.216758125791473,0.190692275221613,0.320493879273955,0.163676656817222,0.521897425073871,0.222905234276066,0.0706953090238801,"X196900179",-0.447771948281316,0.108369792447253,"dec.trend"
"X196900199",0.382600195503421,0.432453567937439,0.434604105571848,0.565200391006843,0.526099706744868,0.204496578690127,0.577908113391984,0.505767350928641,1,0.701270772238514,0.93900293255132,0.709286412512219,0.788269794721408,0.971847507331378,0.533040078201369,0.852101661779081,0.0162077413138121,"X196900199",0.755805714461888,0.0017665246446008,"increasing"
"X196900215",0.882405544377375,0.205902079141516,0.953051643192488,0.579476861167002,0.131678962664878,0.358148893360161,1,0.27364185110664,0.629778672032193,0.666890230270512,0.150905432595573,0.0505253744690364,0.204560697518444,0.147328414934049,0.568097473731277,0.138329979879276,0.0217695432350076,"X196900215",-0.561825849336699,0.0365379591872884,"decreasing"
"X196900224",0.344548286604361,0.250467289719626,0.431464174454829,1,0.214953271028037,0.150155763239875,0.242056074766355,0.34392523364486,0.644236760124611,0.314018691588785,0.111526479750779,0.165109034267913,0.541744548286604,0.245171339563863,0.393582554517134,0.26588785046729,0.385199371883996,"X196900224",-0.216316299670193,0.457612637733617,"dec.trend"
"X196900235",0.509153318077803,0.326468344774981,0.829328756674294,0.333714721586575,0.199656750572082,0.194317315026697,0.519832189168574,0.322845156369184,1,0.422387490465294,0.264111365369947,0.165903890160183,0.307017543859649,0.322654462242563,0.465770404271548,0.264921815408085,0.167561872105679,"X196900235",-0.299564293027307,0.298104005089367,"dec.trend"
"X196900250",0.494583948793698,0.251846381093058,1,0.264401772525849,0.137863121614968,0.226243229935992,0.249630723781388,0.3397341211226,0.733382570162482,0.322008862629247,0.270556376169375,0.13096996553422,0.187346134908912,0.360905957656327,0.401969473165928,0.237444608567208,0.265995839316476,"X196900250",-0.302208089732005,0.293650961328735,"dec.trend"
"X196900138",0.0210818852988238,0.031243859304382,0,0.411616090727901,0.144092299918592,0.208685399882099,0.0305982090222609,0.148078488616905,1,0.0949386632231985,0.300339668191899,0.210060915700531,0.947028605114673,0.723296746484013,0.209033489599416,0.545181483872779,0.0970112354041448,"X196900138",0.575873017635278,0.0311517602685192,"increasing"
"X196900155",0.254376485843959,0.748433110006484,0.2645342554571,0,0.0816944024205749,0.301275124270586,0.0987681002809596,0.370650529500756,1,0.129025286362654,0.186081694402421,0.11670628917225,0.14242489734169,0.0907715582450832,0.324875729414307,0.133996109790361,0.262974262814541,"X196900155",-0.278971492307986,0.33411471071595,"dec.trend"
"X196900156",0.0783868715083799,0.202164804469274,0.587814245810056,0.145425977653631,0.200069832402235,0,0.218924581005587,0.508030726256983,1,0.135474860335196,0.633379888268156,0.556913407821229,0.578736033519553,0.792597765363129,0.307629189944134,0.640406773743017,0.0581389155036654,"X196900156",0.601467873671,0.0228846783113648,"increasing"
"X196900176",0.882814543552184,0.294009939837824,0.75568924928067,0.890400209259744,0.269683494637719,0.362804080565001,0.528642427413026,0.470572848548261,1,0.328276222861627,0.191472665445985,0.21344493852995,0.280408056500131,0,0.578289301595606,0.171331415119016,0.0170747599746196,"X196900176",-0.634484937527023,0.0147974537074428,"decreasing"
"X196900185",0.319572953736655,0.29862735129639,0.344585663446873,1,0.238027452974072,0.282257244534825,0.453787493645145,0.446568378240976,0.820742247076767,0.170208439247585,0.0758515505846467,0.115200813421454,0.212099644128114,0.0828673106253177,0.437437722419929,0.121504829689883,0.0409361062679754,"X196900185",-0.497210976478886,0.0704633661782929,"dec.trend"
"X196900189",0.738263950398583,0.246899911426041,0.24844995571302,0.703941541186891,0.275686448184234,0.0797165633303809,0.675376439326838,0.308015943312666,1,0.660540301151461,0.214127546501329,0.201505757307352,0.177590788308237,0.379982285208149,0.493689105403012,0.243301594331267,0.131665356387751,"X196900189",-0.283478792000312,0.326033059472185,"dec.trend"
"X196900198",0.669789762340037,0.455895795246801,0.747029250457038,0.661106032906764,0.323354661791591,0.109689213893967,0.493829981718464,0.739716636197441,1,0.53290676416819,0.449497257769653,0,0.627970749542962,0.850319926873857,0.573331809872029,0.481946983546618,0.592394177643766,"X196900198",-0.0304940156682006,0.91757953795611,"dec.trend"
"X196900214",0.481783397105307,0.377308268175012,1,0.285476626185327,0.196972217601065,0.211778406255199,0.299950091498919,0.451838296456496,0.811512227582765,0.436200299451006,0.409748793877891,0.18782232573615,0.346697720845117,0.571452337381467,0.45528198303111,0.378930294460156,0.599049580008612,"X196900214",-0.101572079629866,0.729710968542598,"dec.trend"
