Gb1_RT;Gb1;Gb10_RT;Gb10;Gb12_RT;Gb12;Gb13_RT;Gb13;Gb14_RT;Gb14;Gb15_RT;Gb15;Gb16_RT;Gb16;Gb17_RT;Gb17;Gb18_RT;Gb18;Gb19_RT;Gb19;Gb2_RT;Gb2;Gb20_RT;Gb20;Gb21_RT;Gb21;Gb3_RT;Gb3;Gb7_RT;Gb7;Gb8_RT;Gb8;Gb9_RT;Gb9
0.264;2286422;0.264;2145835;0.264;2230290;0.265;1965284;0.264;2321354;0.264;2331418;0.264;2009835;0.264;1964519;0.264;1829639;0.264;1997803;0.264;1942734;0.264;2167880;0.264;1987391;0.264;2040445;0.264;1986800;0.264;2526791;0.264;1924631
0.286;2280620;0.286;2133466;0.286;2981499;0.287;1905628;0.286;2290937;0.286;2323525;0.286;2081030;0.286;1958505;0.286;1759216;0.286;1958488;0.286;1859372;0.286;2113503;0.286;1946460;0.286;1964157;0.286;1942018;0.286;2455929;0.286;1828853
0.297;2397202;0.297;2185753;0.297;4130659;0.297;1965656;0.297;2343617;0.297;2377688;0.297;2087587;0.297;2019384;0.297;1804321;0.297;2024902;0.297;1907101;0.297;2146487;0.297;1979637;0.297;2033627;0.297;1990060;0.297;2448786;0.297;1854639
0.307;2412314;0.307;2152211;0.307;5539660;0.308;1981742;0.307;2375037;0.307;2401231;0.307;2103298;0.307;2023104;0.307;1931860;0.307;2064334;0.307;1903712;0.307;2136331;0.307;1974734;0.307;2052231;0.307;2005858;0.307;2363733;0.307;1908513
0.317;2501073;0.317;2321345;0.317;6112240;0.318;1989640;0.317;2397169;0.317;2369332;0.318;2170198;0.318;1981544;0.317;1941260;0.318;2217673;0.318;1975843;0.318;2172904;0.317;2027624;0.317;2194989;0.317;2017926;0.317;2381059;0.317;2049014
0.328;2582033;0.328;2609592;0.328;7173688;0.328;2052982;0.328;2366378;0.328;2451181;0.328;2273313;0.328;2074446;0.328;2024163;0.328;2722273;0.328;2031501;0.328;2240029;0.328;2139356;0.328;2174412;0.328;2076485;0.328;2342732;0.328;2373437
0.338;2729422;0.338;3529240;0.338;7594511;0.339;2033750;0.338;2432909;0.338;2825326;0.338;2671980;0.339;2377087;0.338;2085204;0.339;4479875;0.339;2185913;0.339;2284882;0.338;2758043;0.338;2578867;0.338;2227882;0.338;2427334;0.338;3042329
0.349;3372543;0.349;5037252;0.349;8394411;0.349;2177544;0.349;2842929;0.349;3411536;0.349;3447823;0.349;3431616;0.349;2250189;0.349;7246479;0.349;2770666;0.349;2599258;0.349;4039157;0.349;3654738;0.349;2744782;0.349;2721668;0.349;4716681
0.359;6012881;0.359;7070774;0.359;12591914;0.360;3589625;0.359;7546367;0.359;5376574;0.359;6804627;0.359;7175956;0.359;3967617;0.360;9514117;0.360;4957171;0.360;4141886;0.359;6775753;0.359;6133966;0.359;4749554;0.359;4222774;0.359;18097474
0.370;12422046;0.370;10107695;0.370;18358954;0.370;7524821;0.370;16355613;0.370;10475435;0.370;14153510;0.370;11538392;0.370;9523113;0.370;11542848;0.370;8532478;0.370;8504103;0.370;9946019;0.370;11361233;0.370;8241881;0.370;7965974;0.370;30438740
0.380;16401311;0.380;12236889;0.380;21014458;0.381;12338109;0.380;20041988;0.380;16176300;0.380;18056016;0.380;13232164;0.380;14108888;0.380;13308976;0.381;10502106;0.381;13935380;0.380;13949340;0.380;17379054;0.380;10253558;0.380;9958442;0.380;32366500
0.391;19353916;0.391;15045710;0.391;23240372;0.391;16547668;0.391;21677900;0.391;21828816;0.391;20153986;0.391;14563325;0.391;17002768;0.391;16363651;0.391;13321619;0.391;18366114;0.391;18899032;0.391;23037122;0.391;12388896;0.391;12718172;0.391;31197636
0.401;20984930;0.401;19098212;0.401;24148288;0.402;19905224;0.401;22963716;0.401;23096450;0.401;21729716;0.401;16934258;0.401;19450638;0.401;19943990;0.402;17218554;0.401;21901996;0.401;19965734;0.401;24967720;0.401;15053143;0.401;17654030;0.401;30344294
0.412;20999092;0.412;20140442;0.412;22023070;0.412;18579322;0.412;21345092;0.412;22463192;0.412;20062012;0.412;17184204;0.412;18402480;0.412;21274834;0.412;18189864;0.412;20866328;0.412;19144644;0.412;22361956;0.412;15902487;0.412;18134298;0.412;27092356
0.422;19539408;0.422;18871318;0.422;19017932;0.423;16124058;0.422;19284786;0.422;21304198;0.422;18865344;0.422;16005171;0.422;16714714;0.422;21281344;0.423;17929654;0.422;18223336;0.422;16317352;0.422;20422122;0.422;15814358;0.422;16478600;0.422;23138566
0.433;18264100;0.433;18221820;0.433;17993758;0.433;15357194;0.433;17442334;0.433;20785220;0.433;19072842;0.433;15522316;0.433;15761298;0.433;20545240;0.433;17628386;0.433;17416160;0.433;14269001;0.433;19307182;0.433;16161900;0.433;15372156;0.433;19846724
0.443;16756887;0.443;16988790;0.443;17991096;0.444;14525679;0.443;16199049;0.443;20915090;0.443;19316262;0.443;15194878;0.443;14966310;0.443;19052532;0.443;16795756;0.443;16215929;0.443;13348723;0.443;18654300;0.443;15396612;0.443;14280380;0.443;17849904
0.454;14938740;0.454;14346972;0.454;16499048;0.454;12668676;0.454;14543834;0.454;19400660;0.454;18202716;0.454;13092380;0.454;13463960;0.454;16677295;0.454;14370184;0.454;13621307;0.454;11836521;0.454;16308716;0.454;12808893;0.454;12163039;0.454;15579140
0.464;13422636;0.464;11615401;0.464;14203850;0.465;10887684;0.464;13081536;0.464;17804772;0.464;16289254;0.464;10957982;0.464;11746617;0.464;14571384;0.464;12059118;0.464;11064103;0.464;10281559;0.464;13722942;0.464;10388284;0.464;10190083;0.464;13675283
