Gb1_RT;Gb1;Gb10_RT;Gb10;Gb12_RT;Gb12;Gb13_RT;Gb13;Gb14_RT;Gb14;Gb15_RT;Gb15;Gb16_RT;Gb16;Gb17_RT;Gb17;Gb18_RT;Gb18;Gb19_RT;Gb19;Gb2_RT;Gb2;Gb20_RT;Gb20;Gb21_RT;Gb21;Gb3_RT;Gb3;Gb7_RT;Gb7;Gb8_RT;Gb8;Gb9_RT;Gb9
3.261;4409965;3.261;4988094;3.262;2671405;3.261;3080667;3.261;3067985;3.262;5046095;3.262;3486918;3.262;3878201;3.261;3074494;3.261;5974015;3.261;4151529;3.262;4150493;3.261;4568271;3.262;4067568;3.261;4214304;3.262;5115479;3.261;5050097
3.272;4377589;3.272;4935997;3.272;2655195;3.272;3133437;3.272;2987214;3.272;5221232;3.272;3407915;3.272;3872835;3.272;3020781;3.272;6069255;3.272;4153450;3.272;4089720;3.272;4598081;3.272;4142970;3.272;4270000;3.272;5136692;3.272;5218917
3.282;4342113;3.282;5084790;3.283;2733759;3.282;3202523;3.282;3005434;3.283;5328019;3.283;3490123;3.282;3862887;3.282;2964453;3.282;6031808;3.282;4081789;3.283;4145077;3.282;4674369;3.283;4260116;3.282;4227177;3.283;5272600;3.282;5409789
3.292;4304737;3.293;5121303;3.293;2723706;3.293;3203487;3.293;2983114;3.293;5348788;3.293;3520979;3.293;3813567;3.292;2990364;3.293;6017528;3.293;4176669;3.293;4170112;3.293;4821225;3.293;4271234;3.293;4180973;3.293;5347299;3.292;5599429
3.314;4425257;3.315;5194422;3.315;2936313;3.315;3386216;3.315;3018268;3.315;5776289;3.315;3521523;3.315;3848180;3.314;3001868;3.315;5866781;3.315;4281100;3.315;4341734;3.315;4923632;3.315;4560677;3.315;4095295;3.315;5604292;3.314;5889065
3.325;4426087;3.325;5396677;3.325;3062676;3.325;3568031;3.325;3132834;3.325;6123990;3.326;3554512;3.325;3882959;3.325;3069455;3.325;5771072;3.325;4283423;3.325;4548742;3.325;5176843;3.326;4573055;3.325;4146101;3.325;5646696;3.325;6136581
3.335;4469383;3.336;5477589;3.336;3255299;3.336;3749469;3.336;3154783;3.336;6261310;3.336;3623877;3.336;3906953;3.335;3123244;3.335;5700244;3.336;4429589;3.336;4621614;3.336;5401882;3.336;4735443;3.335;4175217;3.336;5807795;3.335;6269553
3.346;4393334;3.346;5529317;3.346;3347855;3.346;3844837;3.346;3161581;3.346;6454674;3.347;3678222;3.346;3968146;3.346;3110009;3.346;5543203;3.346;4495977;3.346;4693409;3.346;5614612;3.346;4745048;3.346;4218664;3.346;5814055;3.346;6364702
3.356;4466372;3.357;5662559;3.357;3438917;3.357;4052940;3.356;3198720;3.357;6690932;3.357;3735190;3.357;4001286;3.356;3224772;3.356;5505646;3.357;4486234;3.357;4759369;3.356;5969098;3.357;4824975;3.356;4163414;3.357;6002286;3.356;6594848
3.367;4603446;3.367;5836373;3.367;3542591;3.367;4166460;3.367;3279222;3.367;6756034;3.368;3737882;3.367;4185730;3.367;3258597;3.367;5618519;3.367;4583332;3.367;4811835;3.367;6186776;3.367;4810899;3.367;4251394;3.367;6122884;3.367;6779888
3.377;4805164;3.378;5948174;3.378;3617202;3.378;4263617;3.377;3247358;3.378;6871059;3.378;3747990;3.378;4610640;3.377;3296391;3.377;5438558;3.378;4612023;3.378;4929882;3.377;6377905;3.378;4875620;3.377;4279937;3.378;6421093;3.377;6973431
3.388;5037235;3.388;6250842;3.388;3730807;3.388;4315039;3.388;3358552;3.388;6858310;3.389;3569667;3.388;5309956;3.388;3322911;3.388;5528983;3.388;4764028;3.388;5054591;3.388;6549333;3.388;4980725;3.388;4442631;3.388;6893567;3.388;7225220
3.398;5261048;3.399;6323636;3.399;3835155;3.399;4389437;3.398;3394236;3.399;6768711;3.399;3409090;3.399;6363571;3.398;3428446;3.398;5642414;3.398;4824783;3.399;5163862;3.398;6787655;3.399;5064821;3.398;4846559;3.399;7618341;3.398;7523113
3.409;5682572;3.409;6663055;3.409;3941456;3.409;4401510;3.409;3432189;3.409;6909063;3.409;3258739;3.409;7281259;3.409;3469031;3.409;5697910;3.409;5094629;3.409;5154756;3.409;6951681;3.409;5259353;3.409;5329648;3.409;8342415;3.409;7961389
3.419;6104945;3.420;6994231;3.420;3954385;3.420;4499053;3.419;3480220;3.420;6969008;3.420;3153315;3.420;8009955;3.419;3515683;3.419;6074991;3.419;5376487;3.420;5325442;3.419;7326394;3.420;5436677;3.419;5915025;3.420;9052625;3.419;8430259
3.430;6377028;3.430;7344303;3.430;4064245;3.430;4541161;3.430;3625207;3.430;7057127;3.430;3105271;3.430;8524213;3.430;3663068;3.430;6599660;3.430;5702424;3.430;5538984;3.430;7662308;3.430;5705229;3.430;6589929;3.430;9462693;3.430;8920864
3.440;6692612;3.440;7631151;3.441;4211252;3.441;4539494;3.440;3687963;3.441;7172618;3.441;3037527;3.441;8812573;3.440;3658052;3.440;7158069;3.440;6000172;3.441;5696980;3.440;7880070;3.441;5941763;3.440;6993807;3.441;9740303;3.440;9356862
3.451;6794437;3.451;7962662;3.451;4318742;3.451;4745293;3.451;3768837;3.451;7291134;3.451;3083425;3.451;8986327;3.451;3802020;3.451;7640678;3.451;6235832;3.451;5917823;3.451;8256616;3.451;6219692;3.451;7403443;3.451;9981907;3.451;9559434
3.461;6810789;3.461;8149331;3.462;4524916;3.461;4849822;3.461;3916385;3.462;7470505;3.462;3077228;3.462;9173271;3.461;3820380;3.461;8131032;3.461;6366782;3.462;6059250;3.461;8517557;3.462;6401914;3.461;7717708;3.462;10153488;3.461;9814349
3.471;6767221;3.472;8232267;3.472;4676746;3.472;5070581;3.472;4033541;3.472;7568159;3.472;3079850;3.472;9164630;3.472;3906762;3.472;8518357;3.472;6529803;3.472;6371204;3.472;8643078;3.472;6612386;3.472;7759720;3.472;10301899;3.471;10001157
3.482;6720541;3.482;8378259;3.483;4795229;3.482;5181124;3.482;4156216;3.483;7742207;3.483;3034150;3.482;9082140;3.482;3864490;3.482;8710969;3.482;6641260;3.483;6477944;3.482;8974729;3.483;6644474;3.482;7801295;3.483;10338434;3.482;10118523
3.492;6633188;3.493;8327648;3.493;4927446;3.493;5459235;3.493;4321818;3.493;7852849;3.493;3018539;3.493;9007382;3.493;3883462;3.493;8965130;3.493;6559973;3.493;6704656;3.493;9078976;3.493;6639433;3.493;7674206;3.493;10386446;3.492;10152725
3.503;6568228;3.503;8218256;3.503;5107443;3.503;5568165;3.503;4454885;3.503;8016619;3.504;3071656;3.503;8705893;3.503;3909791;3.503;9014342;3.503;6448747;3.504;6883432;3.503;9249098;3.504;6703864;3.503;7459975;3.503;10279358;3.503;10029947
3.513;6326906;3.514;8162694;3.514;5221375;3.514;5726438;3.514;4561104;3.514;7995248;3.514;3081724;3.514;8315810;3.514;3869936;3.514;9171004;3.514;6365650;3.514;6945499;3.514;9267945;3.514;6707803;3.514;7125671;3.514;10064300;3.513;9924487
3.524;6249529;3.524;8032441;3.524;5255463;3.524;5791115;3.524;4646144;3.524;7981765;3.525;3084647;3.524;7936430;3.524;3867152;3.524;8923019;3.524;6224600;3.524;6883550;3.524;9268595;3.525;6664455;3.524;6751698;3.524;9690782;3.524;9771954
3.534;5957500;3.535;7822956;3.535;5144123;3.535;5699466;3.535;4605670;3.535;7934225;3.535;3174739;3.535;7395212;3.535;3776141;3.534;8925413;3.535;5980724;3.535;6897627;3.535;9188941;3.535;6543720;3.534;6464928;3.535;9262795;3.534;9474242
3.545;5802718;3.545;7517632;3.545;5136356;3.545;5605695;3.545;4578151;3.545;7654123;3.546;3132614;3.545;6787057;3.545;3802141;3.545;8570689;3.545;5870181;3.545;6645859;3.545;9039291;3.546;6391977;3.545;6146232;3.545;8765822;3.545;9127743
3.567;5121521;3.567;6825625;3.567;4718288;3.567;5195167;3.567;4270002;3.567;7082366;3.568;3163733;3.567;5625676;3.567;3625018;3.567;7725957;3.567;5385678;3.567;5889159;3.567;8652106;3.567;5889999;3.567;5473647;3.567;7713374;3.567;8157790
3.577;4924617;3.578;6507934;3.578;4589005;3.578;4967007;3.578;4172316;3.578;6735038;3.578;3219168;3.578;5238284;3.578;3594990;3.577;7503644;3.578;5253305;3.578;5535743;3.577;8304352;3.578;5599793;3.577;5295881;3.578;7236836;3.577;7623464
3.588;4736594;3.588;6243468;3.588;4266480;3.588;4708834;3.588;4066513;3.588;6437060;3.589;3171178;3.588;4831581;3.588;3554006;3.588;6974711;3.588;4929623;3.588;5242304;3.588;7984973;3.589;5379001;3.588;5006855;3.588;6730253;3.588;7364972
3.598;4611968;3.599;5886678;3.599;4019604;3.599;4529429;3.598;3927114;3.599;6173968;3.599;3229270;3.599;4464581;3.598;3409496;3.598;6693484;3.598;4717589;3.599;4783869;3.598;7742745;3.599;5034724;3.598;4690108;3.599;6276275;3.598;6675297
3.609;4463863;3.609;5655758;3.609;3813761;3.609;4256178;3.609;3941065;3.609;5955019;3.609;3245494;3.609;4413172;3.609;3367132;3.609;6265618;3.609;4517680;3.609;4514173;3.609;7459102;3.609;4995004;3.609;4480226;3.609;5908497;3.609;6257570
3.619;4328039;3.619;5411754;3.620;3689432;3.620;4099747;3.619;3746232;3.620;5722504;3.620;3279162;3.620;4254892;3.619;3441870;3.619;5932332;3.619;4340414;3.620;4272850;3.619;7058957;3.620;4675556;3.619;4356216;3.620;5477793;3.619;5911826
3.630;4302178;3.630;5314228;3.630;3537506;3.630;3917868;3.630;3698486;3.630;5665124;3.630;3246870;3.630;4176544;3.630;3267473;3.630;5572524;3.630;4217164;3.630;4079439;3.630;6815790;3.630;4596072;3.630;4438128;3.630;5349085;3.630;5516730
3.640;4314071;3.640;5326277;3.641;3455130;3.641;3824011;3.640;3648124;3.641;5562474;3.641;3257194;3.641;4090665;3.640;3250845;3.640;5547470;3.640;4247801;3.641;3830475;3.640;6508651;3.641;4463583;3.640;4311483;3.641;5013059;3.640;5278735
3.651;4366211;3.651;5294601;3.651;3300614;3.651;3779003;3.651;3587886;3.651;5535282;3.651;3316885;3.651;3990836;3.651;3283228;3.651;5345224;3.651;4212880;3.651;3786676;3.651;6340651;3.651;4495856;3.651;4284172;3.651;4874544;3.651;5130565
3.661;4548784;3.661;5232084;3.662;3215390;3.662;3875891;3.661;3696466;3.662;5586736;3.662;3275080;3.661;4014160;3.661;3206775;3.661;5253605;3.661;4200021;3.662;3716733;3.661;6152296;3.662;4471442;3.661;4319984;3.662;4808995;3.661;5022621
3.671;4722231;3.672;5310274;3.672;3195567;3.672;3842139;3.672;3535965;3.672;5552743;3.672;3413708;3.672;4125161;3.672;3292606;3.672;5151888;3.672;4247592;3.672;3648901;3.672;5940388;3.672;4460698;3.672;4256227;3.672;4724376;3.671;4962533
3.682;4960457;3.682;5490643;3.683;3169914;3.683;3773985;3.682;3541514;3.683;5590750;3.683;3462095;3.682;4157843;3.682;3315063;3.682;5208193;3.682;4327472;3.683;3657624;3.682;5780604;3.683;4597186;3.682;4351167;3.682;4753198;3.682;4913170
3.692;5142865;3.693;5554275;3.693;3150491;3.693;3837734;3.693;3532264;3.693;5554471;3.693;3512534;3.693;4218582;3.693;3382918;3.693;5278546;3.693;4488685;3.693;3675197;3.693;5682430;3.693;4666574;3.693;4406836;3.693;4817274;3.692;4879501
3.703;5344032;3.703;5813021;3.703;3161309;3.704;3882006;3.703;3558251;3.703;5752449;3.704;3493916;3.703;4301433;3.703;3403104;3.703;5348526;3.703;4533471;3.704;3804320;3.703;5487346;3.704;4612898;3.703;4450026;3.703;4830632;3.703;4824973
3.713;5655115;3.714;5851210;3.714;3147606;3.714;3906221;3.714;3570698;3.714;5874211;3.714;3434028;3.714;4514221;3.714;3439624;3.714;5497685;3.714;4726068;3.714;3852392;3.714;5538149;3.714;4695207;3.714;4600500;3.714;4912678;3.713;4830263
3.724;5743169;3.724;5924866;3.724;3235680;3.724;3972962;3.724;3522298;3.724;6005742;3.725;3479061;3.724;4569539;3.724;3568772;3.724;5542747;3.724;4861405;3.724;3900010;3.724;5477068;3.725;4791578;3.724;4757199;3.724;4882064;3.724;4766885
3.734;5768738;3.735;5966653;3.735;3349681;3.735;3974534;3.735;3491094;3.735;6094447;3.735;3514896;3.735;4627545;3.735;3711349;3.735;5773915;3.735;4944421;3.735;3931330;3.734;5508688;3.735;4766800;3.734;4970360;3.735;4947936;3.734;4799651
3.745;5851865;3.745;6083601;3.745;3414044;3.745;4052465;3.745;3453507;3.745;6136177;3.746;3562502;3.745;4778737;3.745;3828561;3.745;5934645;3.745;4996288;3.745;3998391;3.745;5413265;3.746;4802441;3.745;5100895;3.745;4918936;3.745;4787760
3.755;5968127;3.756;6167206;3.756;3406573;3.756;4177461;3.756;3529146;3.756;6199126;3.756;3536986;3.756;4730895;3.756;3873674;3.756;6018294;3.756;5087820;3.756;4020525;3.755;5421042;3.756;4830844;3.755;5214414;3.756;4967795;3.755;4801871
3.766;6028795;3.766;6179069;3.766;3469523;3.766;4093013;3.766;3571186;3.766;6262562;3.767;3622122;3.766;4737282;3.766;3886259;3.766;6143876;3.766;5096500;3.766;4055155;3.766;5303432;3.767;4926502;3.766;5194747;3.766;4911812;3.766;4746804
3.776;5955960;3.777;6066579;3.777;3494212;3.777;4118630;3.777;3547732;3.777;6048733;3.777;3641553;3.777;4693945;3.777;3917442;3.777;6253707;3.777;5097192;3.777;4047316;3.776;5240385;3.777;4891322;3.776;5159809;3.777;4839730;3.776;4855134
3.787;5810667;3.787;5955505;3.787;3455164;3.787;4070747;3.787;3596493;3.787;6064092;3.788;3668615;3.787;4672276;3.787;3876523;3.787;6368982;3.787;4994185;3.787;4110420;3.787;5197682;3.788;4788478;3.787;5112866;3.787;4879508;3.787;4753114
3.797;5791444;3.798;5967319;3.798;3537019;3.798;4109934;3.797;3507154;3.798;6101365;3.798;3663983;3.798;4569942;3.797;3883829;3.798;6296179;3.797;4913208;3.798;3954876;3.797;5093780;3.798;4660763;3.797;4965986;3.798;4733133;3.797;4729489
3.819;5295378;3.819;5483080;3.820;3400646;3.820;3828678;3.819;3415166;3.820;5810463;3.820;3599712;3.820;4325367;3.819;3721917;3.820;5893380;3.819;4648667;3.820;3879616;3.819;4822971;3.820;4551218;3.819;4668776;3.820;4489656;3.819;4552353
3.830;5328323;3.830;5512964;3.830;3524952;3.830;3866742;3.830;3423678;3.830;5736710;3.830;3569974;3.830;4222349;3.830;3737802;3.830;5934558;3.830;4550190;3.830;3846233;3.830;4842744;3.831;4460831;3.830;4627726;3.830;4458653;3.830;4574980
3.840;5132363;3.840;5380931;3.841;3545212;3.841;3890309;3.840;3510034;3.841;5744617;3.841;3627483;3.841;4188550;3.840;3782586;3.841;5822063;3.840;4580681;3.841;3860660;3.840;4700337;3.841;4533068;3.840;4537820;3.841;4361359;3.840;4503308
3.851;5003480;3.851;5315965;3.851;3585279;3.851;3826541;3.851;3543770;3.851;5705268;3.851;3569062;3.851;4095046;3.851;3795395;3.851;5703531;3.851;4514738;3.851;3792890;3.851;4612289;3.851;4387419;3.851;4434269;3.851;4273122;3.851;4436298
3.861;4919346;3.861;5269284;3.862;3583292;3.862;3783027;3.861;3514789;3.862;5507935;3.862;3515233;3.861;3945888;3.861;3863720;3.862;5586605;3.861;4498876;3.862;3824718;3.861;4623933;3.862;4384904;3.861;4286530;3.862;4256557;3.861;4477493
3.871;4821269;3.872;5047143;3.872;3648626;3.872;3735890;3.872;3593069;3.872;5511581;3.872;3439834;3.872;3889745;3.872;3845971;3.872;5529801;3.872;4455689;3.872;3799222;3.872;4626573;3.872;4250367;3.872;4262441;3.872;4119739;3.871;4380226
3.882;4806174;3.882;5122073;3.883;3642913;3.883;3704000;3.882;3616860;3.882;5297440;3.883;3398556;3.882;3839708;3.882;3891963;3.882;5447153;3.882;4331510;3.883;3809735;3.882;4534488;3.883;4200458;3.882;4271926;3.882;4220672;3.882;4422531
3.892;4733008;3.893;5067461;3.893;3614006;3.893;3646715;3.893;3598641;3.893;5272789;3.893;3325689;3.893;3839789;3.893;3829031;3.893;5510155;3.893;4265041;3.893;3766326;3.893;4473917;3.893;4071553;3.893;4280681;3.893;4106481;3.892;4303593
3.903;4698318;3.903;4863671;3.903;3615820;3.904;3640659;3.903;3728021;3.903;5180915;3.904;3161367;3.903;3923400;3.903;3908387;3.903;5405311;3.903;4221693;3.904;3752151;3.903;4315260;3.904;4107932;3.903;4225429;3.903;3979693;3.903;4258022
3.913;4613543;3.914;4822014;3.914;3540956;3.914;3512123;3.914;3708496;3.914;5131981;3.914;3177834;3.914;3887597;3.914;4051162;3.914;5360232;3.914;4006815;3.914;3680279;3.914;4245222;3.914;4037260;3.914;4151558;3.914;3952169;3.913;4222291
3.924;4603995;3.924;4808858;3.924;3460594;3.924;3475742;3.924;3622062;3.924;5128660;3.925;3107057;3.924;3956938;3.924;4108488;3.924;5378509;3.924;4070339;3.925;3676094;3.924;4109978;3.925;4006002;3.924;4231160;3.924;3828031;3.924;4138649
3.934;4660924;3.935;4703455;3.935;3453712;3.935;3439596;3.935;3633317;3.935;5183730;3.935;3213724;3.935;3957889;3.935;4170568;3.935;5312799;3.935;3994390;3.935;3632483;3.934;3972991;3.935;3974496;3.934;4229300;3.935;3864092;3.934;4064392
3.945;4773873;3.945;4662484;3.945;3396431;3.945;3358344;3.945;3597970;3.945;5270160;3.946;3158359;3.945;4117082;3.945;4272730;3.945;5120358;3.945;4087455;3.946;3662401;3.945;3913884;3.946;3991944;3.945;4365322;3.945;3725089;3.945;3929102
3.955;4880624;3.956;4612378;3.956;3323171;3.956;3308131;3.956;3618175;3.956;5320424;3.956;3382582;3.956;4190443;3.956;4464938;3.956;5057924;3.956;4137864;3.956;3681111;3.955;3971779;3.956;3989721;3.955;4450439;3.956;3679002;3.955;3876699
3.966;4998003;3.966;4644749;3.966;3349812;3.966;3292005;3.966;3559990;3.966;5272965;3.967;3487589;3.966;4264529;3.966;4668262;3.966;5111926;3.966;4217878;3.967;3657937;3.966;3891326;3.967;3980807;3.966;4574319;3.966;3700142;3.966;3778753
3.976;5143686;3.977;4492731;3.977;3260459;3.977;3328798;3.977;3559573;3.977;5351078;3.977;3649593;3.977;4503453;3.977;4964047;3.977;5115238;3.977;4223686;3.977;3672271;3.976;3866048;3.977;3882976;3.976;4733946;3.977;3659818;3.976;3806503
3.987;5185012;3.987;4528016;3.987;3293316;3.987;3312395;3.987;3607456;3.987;5515574;3.988;3718470;3.987;4454658;3.987;5300622;3.987;5013417;3.987;4353554;3.988;3705035;3.987;3979136;3.988;4150301;3.987;4868922;3.987;3677406;3.987;3929231
3.997;5214985;3.998;4612065;3.998;3245733;3.998;3336278;3.997;3486076;3.998;5485875;3.998;3807561;3.998;4580269;3.997;5757181;3.998;5144383;3.997;4435516;3.998;3781011;3.997;3961228;3.998;4180069;3.997;4889654;3.998;3774721;3.997;3892709
4.008;5275352;4.008;4586391;4.008;3281751;4.008;3287586;4.008;3415409;4.008;5581023;4.008;3872954;4.008;4642129;4.008;6150004;4.008;5250873;4.008;4417128;4.009;3783217;4.008;3982896;4.009;4101107;4.008;5011232;4.008;3887570;4.008;3948327
4.018;5403376;4.018;4541671;4.019;3323434;4.019;3284673;4.018;3460359;4.019;5589876;4.019;3844158;4.019;4756414;4.018;6499438;4.019;5437983;4.018;4522756;4.019;3903474;4.018;4109476;4.019;4140109;4.018;5138620;4.019;3942577;4.018;3935189
4.029;5440868;4.029;4559908;4.029;3312561;4.029;3374980;4.029;3476258;4.029;5649142;4.029;3924467;4.029;4763212;4.029;6682780;4.029;5608970;4.029;4519839;4.030;3963624;4.029;4101156;4.030;4194964;4.029;5150453;4.029;4044212;4.029;3961900
4.039;5417000;4.039;4521759;4.040;3308966;4.040;3316290;4.039;3335235;4.040;5554631;4.040;3900883;4.040;4763175;4.039;6697899;4.040;5743479;4.039;4560797;4.040;4039792;4.039;4124673;4.040;4105582;4.039;5221434;4.040;4246704;4.039;3977378
4.050;5345896;4.050;4531684;4.050;3279086;4.050;3276216;4.050;3409397;4.050;5547563;4.050;3858462;4.050;4813701;4.050;6820420;4.050;5870006;4.050;4593525;4.051;4076446;4.050;4173692;4.050;4160106;4.050;5265399;4.050;4439480;4.050;4131395
4.071;5126471;4.072;4532755;4.072;3080419;4.072;3253727;4.072;3399093;4.072;5503878;4.072;3698236;4.072;4834579;4.072;6830981;4.072;5961228;4.072;4526902;4.073;4123641;4.072;4301917;4.072;4282919;4.072;5275651;4.072;4500326;4.071;4168187
4.082;5126796;4.082;4725903;4.082;3063175;4.083;3236846;4.082;3439115;4.082;5487708;4.083;3646212;4.083;4905092;4.082;6827949;4.082;6080368;4.082;4659310;4.083;3945125;4.082;4389507;4.083;4405917;4.082;5270917;4.082;4645226;4.082;4342993
4.092;4995795;4.093;4802336;4.093;3013631;4.093;3170389;4.093;3390211;4.093;5411544;4.093;3542952;4.093;4786291;4.093;6716736;4.093;6192796;4.093;4719301;4.093;3900689;4.093;4433148;4.093;4466075;4.093;5154640;4.093;4729303;4.092;4428517
4.103;4974132;4.103;4903257;4.103;2936358;4.104;3183506;4.103;3315273;4.103;5458842;4.104;3389102;4.104;4851251;4.103;6451089;4.103;6088926;4.103;4671619;4.104;3846412;4.103;4455526;4.104;4547415;4.103;5111220;4.103;4809776;4.103;4405036
4.113;5094264;4.114;4968326;4.114;2881399;4.114;3226708;4.114;3361924;4.114;5583199;4.114;3273109;4.114;4893005;4.114;6238107;4.114;6078902;4.114;4676769;4.114;3782055;4.114;4564916;4.114;4634236;4.114;5062297;4.114;4885987;4.113;4534753
4.124;5163991;4.124;5140626;4.124;2844665;4.124;3282040;4.124;3398809;4.124;5843995;4.125;3165344;4.124;5064286;4.124;5849425;4.124;5838926;4.124;4761661;4.125;3888026;4.124;4732899;4.125;4699198;4.124;5088803;4.124;5060867;4.124;4679468
4.134;5177781;4.135;5363300;4.135;2931371;4.135;3498329;4.135;3439927;4.135;6130814;4.135;2981988;4.135;5227594;4.135;5388576;4.135;5822243;4.135;4831978;4.135;3926095;4.135;4874322;4.135;4797480;4.134;5083346;4.135;5083300;4.134;4752085
4.145;5292149;4.145;5507650;4.145;2922974;4.145;3544437;4.145;3518118;4.145;6359122;4.146;2955812;4.145;5347516;4.145;4893059;4.145;5684261;4.145;4931513;4.146;4005226;4.145;5097198;4.146;4810352;4.145;5190039;4.145;5066373;4.145;4795174
4.155;5303369;4.156;5656048;4.156;2988406;4.156;3637093;4.156;3671882;4.156;6531224;4.156;3010268;4.156;5434649;4.156;4528273;4.156;5677514;4.156;4960060;4.156;4113065;4.156;5238461;4.156;4907538;4.155;5219569;4.156;5053290;4.155;4903689
4.166;5342841;4.166;5686092;4.166;3018688;4.166;3756454;4.166;3771614;4.166;6757008;4.167;2972653;4.166;5497938;4.166;4368011;4.166;5540308;4.166;4960992;4.167;4224942;4.166;5308815;4.167;4949364;4.166;5213415;4.166;5011422;4.166;4948396
4.176;5362910;4.177;5819648;4.177;3146243;4.177;3866090;4.176;3846510;4.177;6872424;4.177;3013131;4.177;5587641;4.177;4192747;4.177;5575879;4.176;4998945;4.177;4281190;4.177;5395903;4.177;4928359;4.176;5223011;4.177;5010398;4.176;4944940
4.187;5413016;4.187;5828913;4.187;3241420;4.187;3947142;4.187;4000933;4.187;7015236;4.188;3073995;4.187;5604224;4.187;4195433;4.187;5628710;4.187;4982487;4.188;4368281;4.187;5390172;4.188;4895578;4.187;5248838;4.187;5007839;4.187;4988335
4.197;5482566;4.198;5889888;4.198;3376571;4.198;4002859;4.197;4140438;4.198;7140967;4.198;3086729;4.198;5656130;4.197;4134974;4.198;5607437;4.197;4969912;4.198;4487601;4.198;5445297;4.198;4932995;4.197;5159476;4.198;4998471;4.197;5045232
4.208;5501477;4.208;5924730;4.208;3407128;4.208;4065419;4.208;4240185;4.208;7141931;4.208;3125652;4.208;5738311;4.208;4197507;4.208;5694782;4.208;5033752;4.209;4617907;4.208;5452473;4.209;4920167;4.208;5190489;4.208;5040366;4.208;5069339
4.218;5484641;4.218;5964502;4.219;3441034;4.219;4111519;4.218;4266623;4.219;7176145;4.219;3234955;4.219;5653091;4.218;4247657;4.219;5762900;4.218;4964488;4.219;4718646;4.218;5478373;4.219;4893077;4.218;5225936;4.219;5050463;4.218;5092633
4.229;5535689;4.229;5948242;4.229;3391197;4.229;4125665;4.229;4315048;4.229;7168373;4.229;3217381;4.229;5702469;4.229;4310528;4.229;5822831;4.229;4948149;4.230;4825886;4.229;5556283;4.230;4892922;4.229;5127242;4.229;5023574;4.229;5100235
4.239;5659496;4.239;6062138;4.240;3345064;4.240;4148878;4.239;4382378;4.240;7165488;4.240;3263152;4.240;5748224;4.239;4358398;4.240;5966500;4.239;4937402;4.240;4975917;4.239;5524550;4.240;4855355;4.239;5142899;4.240;5073374;4.239;5116368
4.250;5703272;4.250;6053938;4.250;3339825;4.250;4144979;4.250;4494394;4.250;7082678;4.250;3121004;4.250;5722020;4.250;4474174;4.250;6010894;4.250;4921338;4.251;5107189;4.250;5596941;4.250;4866126;4.250;5189921;4.250;5199661;4.250;5206641
4.260;6191891;4.260;6087121;4.261;3317753;4.261;4194856;4.260;4576604;4.261;7098950;4.261;3083996;4.261;5866154;4.260;4547742;4.260;6073355;4.260;5013035;4.261;5266659;4.260;5669529;4.261;4911083;4.260;5323181;4.261;5485740;4.260;5235756
4.270;7094211;4.271;6260159;4.271;3210503;4.271;4274303;4.271;4697586;4.271;7131656;4.271;3091295;4.271;6129965;4.271;4649395;4.271;6163367;4.271;5103534;4.272;5506999;4.271;5887627;4.271;5103699;4.271;5455129;4.271;6141577;4.270;5462884
4.281;8659607;4.281;6706443;4.282;3132458;4.282;4502880;4.281;5071386;4.282;7335142;4.282;3074119;4.282;6686866;4.281;4800963;4.281;6300252;4.281;5357919;4.282;6007180;4.281;6438969;4.282;5542972;4.281;5862830;4.281;7509719;4.281;6067696
4.291;10325219;4.292;7563522;4.292;3175852;4.292;5116034;4.292;5733450;4.292;7737190;4.292;3008759;4.292;7839381;4.292;5181410;4.292;6670912;4.292;6186218;4.293;6952711;4.292;7608121;4.292;6479497;4.292;6902396;4.292;9429892;4.291;7238621
4.302;11648048;4.302;9071966;4.302;3392176;4.303;6305144;4.302;7050024;4.302;8692135;4.303;3007821;4.303;9370955;4.302;5880630;4.302;7295911;4.302;7739331;4.303;8642006;4.302;9208522;4.303;8173460;4.302;8624525;4.302;11052936;4.302;8945224
4.324;13610934;4.324;11853902;4.324;5165555;4.324;9645947;4.324;10354314;4.324;11444640;4.325;2847708;4.325;12063868;4.324;9116915;4.324;10365139;4.324;11067246;4.325;11317491;4.324;11947235;4.325;11345707;4.324;11851733;4.324;13363756;4.324;11765295
4.334;14257937;4.335;12925773;4.335;6900168;4.335;10849516;4.335;11545483;4.335;12577433;4.335;2962836;4.335;12976603;4.335;10570944;4.335;11794425;4.335;12286117;4.335;12292546;4.335;12827366;4.335;12332718;4.334;12897684;4.335;13823042;4.334;12667369
4.345;14652853;4.345;13733026;4.345;8639416;4.345;11787442;4.345;12559888;4.345;13460442;4.346;2964573;4.345;13550271;4.345;11704033;4.345;12924059;4.345;13118212;4.346;12955659;4.345;13486882;4.346;13180028;4.345;13658541;4.345;14130906;4.345;13367936
4.355;14861342;4.356;14218308;4.356;10002731;4.356;12437044;4.356;13261947;4.356;14093325;4.356;2968911;4.356;13892354;4.356;12471715;4.356;13682541;4.356;13620880;4.356;13410522;4.356;13868074;4.356;13670712;4.355;14155881;4.356;14285819;4.355;13700027
4.366;14958177;4.366;14341759;4.366;11060261;4.366;13047523;4.366;13807291;4.366;14497969;4.367;3117496;4.366;14101268;4.366;13053453;4.366;14218973;4.366;13913806;4.367;13739621;4.366;14076806;4.367;14047255;4.366;14476898;4.366;14405672;4.366;13925639
