"Wb1","Wb2","Wb3","Wb4","Wb5","Wb6","Wb7","Wb8","Wb9","Wb10","Wb11","Wb12","Wb13","Wb14","Wb15","Wb16","shallow_mean","deep_mean","ttest_pval","ttest_fdr","XOTU","inc_dec_estimate","inc_dec_p_val","fdr","classification"
0.0123551940429467,0.0187048296432259,0.0323628083695989,0.0415752490195324,0.119294844069263,0.0904246421487801,0.0659188885204317,0.378365865508274,0.126964082766583,0.0690991437762496,0.00962933393050133,0.0497350028962911,0.103232892798753,0.18633180645501,0.102114910915328,0.0979720297469479,0.0845358237243064,0.12241290997901,0.483604339320471,0.654330191573139,"X1969004",0.244951220507596,0.360524888547587,0.517775105892811,"inc.trend"
0.441968926252218,0.745847195135941,0.536101642392315,0.466899327251654,0.634353979925129,0.358747341505962,0.583328490210625,0.343602640679032,0.388754592631345,0.0363335542282356,0.45563106701588,0.840574061141518,0.472305036874314,0.50420330297127,0.643714203678237,0.69523020888855,0.486011901530821,0.578863188103093,0.415062417706161,0.654330191573139,"X1969000",0.10261545569265,0.705306630833226,0.810356786566191,"inc.trend"
0.00471521001063195,0.0154955833428932,0.0410261246816939,0.00709101562332936,0.0114901042521141,0.0116376323272875,0.00369900619122016,0,0.0119844376694989,0.0104756847376251,0.0125015821706408,0.0116717825453797,0.0124162925244099,0.0103254415369405,0.00867045471718072,0.00898182694992259,0.0118156802960262,0.0100985039321134,0.748294806035152,0.801744435037663,"X19690015",-0.166283706644014,0.538231167923015,0.685537284783088,"dec.trend"
0.0083948919216951,0.0607376390960193,0.0477762358362189,0.015815787560357,0.0114483437486018,0.0146127559920663,0.00292296699953164,0,0.00993391421475776,0.00249274777166782,0.0128520938202849,0.00180273821317785,0.0043884735502093,0.00124607311465628,0,0.00317901469580446,0.0157325095978649,0.00220339034016751,0.185258174243446,0.654330191573139,"X1969006",-0.582162450775278,0.0179793187521887,0.191556308459959,"decreasing"
0.00430416068866571,0.00525696914075944,0.00629651087068799,0.00606884871502072,0.00906799504839744,0.0152101703825842,0.0090492323365617,0.0300991683575777,0.013854563166345,0.0174536230421178,0,0.0390106052977766,0.0191331372777291,0,0.00569718767473139,0.0177542577222772,0.0129726539205412,0.0106461456686844,0.718753975695554,0.780997007819233,"X19690019",0.233123519287253,0.384893424373697,0.541256378025511,"inc.trend"
0,0.00352758976712172,0.0267040325514342,0.00372085862020298,0.00423272532028815,0.00685831720314479,0.00155891573308354,0,0.00557730353159069,0.00398049688187097,0.00783782994343131,0.00496971074984165,0.00647894595647971,0.00391372259955422,0.0038535354298581,0.00433386634178532,0.0057473150251675,0.00464501758191934,0.764751664649387,0.8065740213099,"X19690052",-0.101524236256084,0.708311857887486,0.810356786566191,"dec.trend"
0.00631988332523092,0.004901342204887,0.00693424592321131,0.00214270134335827,0.00116631120523796,0.00295122708915812,0,0,0.00219784845368884,0.00116737835785852,0.00217122494085116,0.00203011060042551,0.00180195684414592,0.00243949525263694,0,0.00142452854133354,0.00266518945365897,0.0014164951595291,0.312685197110677,0.654330191573139,"X1969009",-0.56787657834203,0.0217494151496529,0.191556308459959,"decreasing"
0.00348601444205983,0.00615750831708156,0.00940434647875938,0.00221968462515557,0.00208205938940178,0.00309460654288241,0,0,0.00246543875789993,0.00123320796450468,0.0013923101638642,0.00132633892561133,0.00183738857984542,0.00126362344021482,0.000986051712934278,0,0.00273845963393506,0.00102176593324863,0.235148109004236,0.654330191573139,"X19690020",-0.587112498334485,0.0167988838500082,0.191556308459959,"decreasing"
0,0,0.00775611574442094,0.00263453897706326,0.00204626467210547,0.00481515998757378,0.00181189767222429,0,0.0031659841610593,0.00339680770294171,0.00453231035859289,0.00374623076131854,0.00386712086777382,0.00248044601227353,0.00228567542653348,0.00320756872001827,0.00282544250310835,0.00296020275664978,0.911583334785878,0.932301137849194,"X19690060",0.212597006703224,0.429231851243491,0.578081906285104,"inc.trend"
0.0687005703309342,0.0100579327750373,0.0148789875282377,0.00549575095052969,0.00235051976912407,0.00357253805529668,0,0,0.00268492294000565,0,0.00179150398707001,0,0.00159948978300593,0.00108227007610991,0,0.00112312495240996,0.00912772719468628,0.00095122120288145,0.421956889050023,0.654330191573139,"X1969002",-0.551903316111767,0.0266570037865501,0.191556308459959,"decreasing"
