"XOTU","barettin_estimate_P","barettin_p_val_P","barettin_estimate_S","barettin_p_val_S","barettin_fdr_P","barettin_fdr_S"
"X1969004",0.376853270249503,0.357449921370441,-0.0238095238095238,0.976785714285714,0.90152469520975,0.985430095467628
"X196900135",-0.00594259112218347,0.988857903966847,0.0476190476190476,0.934871031746032,0.994160091119484,0.976536593049476
"X196900136",-0.419488795554387,0.300859590171031,0.119047619047619,0.793005952380952,0.90152469520975,0.957666066188054
"X196900143",0.0532523352610789,0.900340477754903,-0.30952380952381,0.461805555555556,0.943094075860582,0.921569248648886
"X196900145",0.658999524312356,0.0755064874190465,0.523809523809524,0.196626984126984,0.832792140651248,0.790711059964901
"X196900148",-0.165760811024027,0.694844739411618,-0.333333333333333,0.427876984126984,0.90152469520975,0.921569248648886
"X196900154",-0.210642780119278,0.616572150649002,-0.214285714285714,0.619097222222222,0.90152469520975,0.9553969478738
"X196900157",-0.0667428128750297,0.875228370129435,-0.0238095238095238,0.976785714285714,0.929775180732403,0.985430095467628
"X196900160",0.476263406823638,0.232853781626965,0.428571428571429,0.299206349206349,0.90152469520975,0.790711059964901
"X196900162",-0.00353991112763286,0.993362722083634,-0.476190476190476,0.243055555555556,0.99559840296092,0.790711059964901
"X196900164",-0.0694315515316782,0.870233625146548,0.238095238095238,0.582142857142857,0.927095481335101,0.934075049525024
"X196900168",-0.383058043877623,0.348932643478118,-0.428571428571429,0.299206349206349,0.90152469520975,0.790711059964901
"X196900171",0.567841230499208,0.142029298953203,0.30952380952381,0.461805555555556,0.90152469520975,0.921569248648886
"X196900178",0.829178571660168,0.0109194433641819,0.166666666666667,0.703323412698413,0.20473956307841,0.957666066188054
"X196900179",-0.0570369357120935,0.893287460730458,-0.214285714285714,0.619097222222222,0.943094075860582,0.9553969478738
"X196900199",0.233426690690776,0.577963766104658,-0.0238095238095238,0.976785714285714,0.90152469520975,0.985430095467628
"X196900215",0.236749624141392,0.572402920292126,0.0714285714285714,0.881994047619048,0.90152469520975,0.964279206580592
"X196900224",0.285076872425769,0.493734632299884,-0.0476190476190476,0.934871031746032,0.90152469520975,0.976536593049476
"X196900235",0.186524540724414,0.658293633111542,-0.166666666666667,0.703323412698413,0.90152469520975,0.957666066188054
"X196900250",0.343833541775555,0.404320684024177,0.333333333333333,0.427876984126984,0.90152469520975,0.921569248648886
"X196900138",0.03804105298196,0.928741808326934,0.428571428571429,0.299206349206349,0.962094414703315,0.790711059964901
"X196900155",0.0413823988008071,0.922496541087222,0.452380952380952,0.267460317460317,0.96074186131071,0.790711059964901
"X196900156",0.0123456846373014,0.976854193296255,0.142857142857143,0.75203373015873,0.987386313978694,0.957666066188054
"X196900176",0.480309360539046,0.228341428762542,0.452380952380952,0.267460317460317,0.90152469520975,0.790711059964901
"X196900185",-0.0797932929727403,0.85102141450803,-0.0476190476190476,0.934871031746032,0.927095481335101,0.976536593049476
"X196900189",0.818569543229056,0.0129724721866146,0.404761904761905,0.326835317460317,0.221121684999113,0.817088293650794
"X196900198",-0.323131117646305,0.434982238611801,-0.333333333333333,0.427876984126984,0.90152469520975,0.921569248648886
"X196900214",-0.409858854843367,0.313239819028914,-0.30952380952381,0.461805555555556,0.90152469520975,0.921569248648886
"X196900219",0.500331682710175,0.206681583109376,-0.0476190476190476,0.934871031746032,0.90152469520975,0.976536593049476
"X196900221",0.604188600404525,0.112648411091546,0.452380952380952,0.267460317460317,0.90152469520975,0.790711059964901
"X196900239",0.204409920415865,0.627273753843174,-0.142857142857143,0.75203373015873,0.90152469520975,0.957666066188054
"X196900274",0.767762781277164,0.0261129419884692,-0.0476190476190476,0.934871031746032,0.425754488942432,0.976536593049476
"X196900330",-0.244683647218531,0.559200806556104,-0.547619047619048,0.170982142857143,0.90152469520975,0.790711059964901
"X196900337",-0.311957622092933,0.451920228821716,-0.238095238095238,0.582142857142857,0.90152469520975,0.934075049525024
"X196900141",-0.429472886105753,0.288277938780056,-0.166666666666667,0.703323412698413,0.90152469520975,0.957666066188054
"X196900150",-0.247850503429093,0.553961351002424,0.166666666666667,0.703323412698413,0.90152469520975,0.957666066188054
"X196900151",-0.343454795626148,0.40487301160309,-0.0952380952380952,0.840128968253968,0.90152469520975,0.957666066188054
"X196900153",-0.240862562565804,0.565545676180518,-0.0238095238095238,0.976785714285714,0.90152469520975,0.985430095467628
"X196900159",-0.10182529580724,0.810393170978177,0.333333333333333,0.427876984126984,0.927095481335101,0.921569248648886
"X196900269",0.450659650773445,0.262450389777653,0.119047619047619,0.793005952380952,0.90152469520975,0.957666066188054
"X196900288",0.758533909346748,0.029130855979917,0.0476190476190476,0.934871031746032,0.436962839698755,0.976536593049476
"X196900139",-0.208738370537552,0.619835806051345,-0.0238095238095238,0.976785714285714,0.90152469520975,0.985430095467628
"X196900197",0.176317406725551,0.676192617952399,0.452380952380952,0.267460317460317,0.90152469520975,0.790711059964901
"X196900210",0.0217848324136797,0.959166360662305,-0.333333333333333,0.427876984126984,0.975267576323877,0.921569248648886
"X196900217",-0.296282494221626,0.476124975836701,-0.238095238095238,0.582142857142857,0.90152469520975,0.934075049525024
"X196900242",0.504719791955913,0.202084703049965,-0.142857142857143,0.75203373015873,0.90152469520975,0.957666066188054
"X196900246",-0.232647679219093,0.579270075494663,0.0476190476190476,0.934871031746032,0.90152469520975,0.976536593049476
"X196900280",0.624344322898679,0.0979951292403314,-0.142857142857143,0.75203373015873,0.90152469520975,0.957666066188054
"X196900286",-0.38751112542151,0.342878021496519,-0.574860605718364,0.136058262388092,0.90152469520975,0.790711059964901
"X196900344",0.0313337658458231,0.941287632267972,-0.191620201906121,0.649410201122453,0.966999530630992,0.957666066188054
"X196900172",-0.433893953564906,0.282790090259333,0.0239525252382652,0.955106189878913,0.90152469520975,0.978592407662821
"X196900201",0.0586990478526266,0.890191839148892,-0.131738888810459,0.755832636259335,0.942999829606877,0.957666066188054
"X196900208",-0.319278993932257,0.440791464018912,-0.266356801951717,0.523699417576859,0.90152469520975,0.921569248648886
"X196900218",0.0546400733494598,0.89775359232612,0.299406565478315,0.471260528701558,0.943094075860582,0.921569248648886
"X196900230",0.0299958319641674,0.943791541895848,0.227548989763519,0.587844564501082,0.966999530630992,0.934075049525024
"X196900234",0.00234752704546016,0.99559840296092,-0.0952380952380952,0.840128968253968,0.99559840296092,0.957666066188054
"X196900180",0.743589321871085,0.0344559917854523,0.333333333333333,0.427876984126984,0.461464175698022,0.921569248648886
"X196900181",-0.312182110819548,0.451577304415819,0.0487950036474267,0.908654487655341,0.90152469520975,0.976536593049476
"X196900184",0.511588400000023,0.194998425447008,0.0119762626191326,0.977546654703887,0.90152469520975,0.985430095467628
"X196900195",0.364521314145358,0.374654115039218,0.0952380952380952,0.840128968253968,0.90152469520975,0.957666066188054
"X196900204",-0.470930358345347,0.238870642614025,0.0718575757147955,0.865730123834001,0.90152469520975,0.957666066188054
"X196900209",-0.377243512233186,0.356911475213165,0.155691414048724,0.712761707999163,0.90152469520975,0.957666066188054
"X196900236",-0.26327071205306,0.528702724216516,-0.619047619047619,0.114980158730159,0.90152469520975,0.790711059964901
"X196900237",0.136944908972324,0.746420549185403,0.119047619047619,0.793005952380952,0.905850181050246,0.957666066188054
"X196900241",0.108992044037804,0.797252581502618,0.347311615954845,0.399263874203282,0.927095481335101,0.921569248648886
"X196900249",0.408866067501717,0.314529686061693,0.514979292622701,0.191549313415866,0.90152469520975,0.790711059964901
"X196900279",-0.429481431804672,0.28826728142652,-0.14638501094228,0.729423924959387,0.90152469520975,0.957666066188054
"X196900289",0.151315544603022,0.720584331887378,0.179643939286989,0.670344277246939,0.90152469520975,0.957666066188054
"X196900295",-0.336382384275753,0.415246327159748,-0.317091430894901,0.444104660971675,0.90152469520975,0.921569248648886
"X196900356",-0.176166696935881,0.676457916806288,-0.59881313095663,0.116753544057968,0.90152469520975,0.790711059964901
"X196900377",-0.393836097211686,0.334362562145443,-0.481978974960249,0.22649256280418,0.90152469520975,0.790711059964901
"X196900140",-0.310705664173383,0.453834644507597,0.0487950036474267,0.908654487655341,0.90152469520975,0.976536593049476
"X196900192",-0.0832834923885422,0.844564031696433,-0.238095238095238,0.582142857142857,0.927095481335101,0.934075049525024
"X196900227",-0.428769722592489,0.289155512146647,-0.14638501094228,0.729423924959387,0.90152469520975,0.957666066188054
"X196900228",-0.147578194673943,0.727282325767189,-0.0359287878573978,0.932691474909088,0.90152469520975,0.976536593049476
"X196900287",-0.459769469487935,0.251715132985651,-0.707527552887687,0.0496282607348612,0.90152469520975,0.790711059964901
"X196900354",-0.228553596743067,0.586151758086248,-0.333333333333333,0.427876984126984,0.90152469520975,0.921569248648886
"X196900158",-0.486095400839877,0.221967263379666,0,1,0.90152469520975,1
"X196900182",0.641789228948112,0.0862498247470984,0.619047619047619,0.114980158730159,0.90152469520975,0.790711059964901
"X196900183",0.042033094977562,0.921280726810292,0,1,0.96074186131071,1
"X196900226",-0.221150933512839,0.598663619220397,0.119047619047619,0.793005952380952,0.90152469520975,0.957666066188054
"X196900252",-0.0173044671699017,0.967560600635786,0.268372520060847,0.520440977682338,0.980635743887621,0.921569248648886
"X196900335",-0.167103710223135,0.692464364292635,-0.730552019767088,0.0395556279042976,0.90152469520975,0.74166802320558
"X196900338",0.84131171279644,0.00883894917894997,0.291724116423309,0.48325820802848,0.174452944321381,0.921569248648886
"X196900146",-0.105867532339396,0.802976585243866,0.5,0.216170634920635,0.927095481335101,0.790711059964901
"X196900186",0.140413327907987,0.740165011669774,0.0714285714285714,0.881994047619048,0.90152469520975,0.964279206580592
"X196900196",0.515189748217873,0.191336319319902,0.32335909071658,0.434639448550857,0.90152469520975,0.921569248648886
"X196900202",-0.271229703758604,0.515835309572083,-0.114152915122164,0.787815407605202,0.90152469520975,0.957666066188054
"X196900203",-0.0902957309684151,0.831613515853563,0.107786363572193,0.799460426618421,0.927095481335101,0.957666066188054
"X196900225",-0.15760068860322,0.709355351293905,0.0714285714285714,0.881994047619048,0.90152469520975,0.964279206580592
"X196900341",0.477586613053578,0.231373059582206,-0.0243975018237133,0.95427283374209,0.90152469520975,0.978592407662821
"X196900191",-0.232575037162363,0.579391938663799,0.119047619047619,0.793005952380952,0.90152469520975,0.957666066188054
"X196900211",0.338069164719665,0.412762048229193,0.550908080480099,0.157018421997891,0.90152469520975,0.790711059964901
"X196900229",-0.425353816655085,0.293437128506886,-0.285714285714286,0.500793650793651,0.90152469520975,0.921569248648886
"X196900255",0.687187272945005,0.0596933345367337,0.58554004376912,0.127246589863721,0.699531264102348,0.790711059964901
"X196900263",0.145720532326443,0.730617235695938,0.07319250547114,0.863253392920131,0.90152469520975,0.957666066188054
"X196900283",0.284493285332407,0.494658566470875,0.177571201301144,0.673986656997567,0.90152469520975,0.957666066188054
"X196900161",0.414355158578956,0.307429664864979,0.268372520060847,0.520440977682338,0.90152469520975,0.921569248648886
"X196900223",-0.240302040107868,0.566478515534565,-0.0761019434147761,0.857858829938711,0.90152469520975,0.957666066188054
"X196900260",0.857234349123779,0.00651794962245993,0.51234753829798,0.194223421359995,0.14377830049544,0.790711059964901
"X196900303",-0.329322733446059,0.425712534086455,-0.19025485853694,0.651786959880265,0.90152469520975,0.957666066188054
"X196900318",0.264266193519568,0.527086884602899,-0.0243975018237133,0.95427283374209,0.90152469520975,0.978592407662821
"X196900347",0.54334228448965,0.163982478602937,0.342458745366493,0.40632711209188,0.90152469520975,0.921569248648886
"X196900366",0.0215195520312038,0.959663295102695,-0.266356801951717,0.523699417576859,0.975267576323877,0.921569248648886
"X196900401",-0.327765191117546,0.428036490656424,-0.355142402602289,0.387980339123929,0.90152469520975,0.921569248648886
"X196900149",-0.325504372885737,0.431419247036887,0.0952380952380952,0.840128968253968,0.90152469520975,0.957666066188054
"X196900163",-0.184889597073187,0.661151355403602,0.0476190476190476,0.934871031746032,0.90152469520975,0.976536593049476
"X196900292",0.149534333667149,0.723774668347202,-0.07319250547114,0.863253392920131,0.90152469520975,0.957666066188054
"X196900305",-0.278809975750318,0.503691123105555,-0.30004959907449,0.470261740655634,0.90152469520975,0.921569248648886
"X196900339",0.0071777784711467,0.986542127612909,-0.304407773659105,0.463514822761607,0.994160091119484,0.921569248648886
"X196900349",0.415425041739694,0.306054806773486,0.12683657235796,0.764719723698565,0.90152469520975,0.957666066188054
"X196900458",-0.398085069800237,0.328698068446596,-0.583448232846617,0.128946630491157,0.90152469520975,0.790711059964901
"X1969000",-0.16645363775007,0.693616386200802,-0.0824786098842323,0.846052523866644,0.90152469520975,0.957666066188054
"X196900190",-0.341652924512782,0.407505149235262,-0.0952380952380952,0.840128968253968,0.90152469520975,0.957666066188054
"X196900193",0.193913193377902,0.645424428703526,0.547619047619048,0.170982142857143,0.90152469520975,0.790711059964901
"X196900205",0.0318440754863306,0.940332710346429,0.443121716907906,0.271502386922575,0.966999530630992,0.790711059964901
"X196900265",-0.348602138296431,0.397394607219577,-0.0380509717073881,0.928723264517836,0.90152469520975,0.976536593049476
