"Gb1","Gb2","Gb3","Gb4","Gb5","Gb6","Gb7","Gb8","Gb9","Gb10","Gb11","Gb12","Gb13","Gb14","shallow_mean","deep_mean","ttest_pval","ttest_fdr","XOTU","inc_dec_estimate","inc_dec_p_val","fdr","classification"
0.0523622034185029,0.0278265198183063,0.0279788327838888,0.0139113417850762,0.0174471759447379,0.00983637620098531,0.0180227212254507,0.0408278982645393,0.0123497018475675,0.00883194335804809,0.021562394661776,0.0140752754534277,0.0050421727444323,0.00872217205336044,0.0229394714647103,0.0123505037282491,0.191669970551724,0.327241413137091,"X1969004",-0.511641112458428,0.061463258390688,0.156451930449024,"dec.trend"
0.0616929317991091,0.054615974944517,0.0777532069066815,0.124125223347231,0.0656173811458757,0.0714126485209211,0.0753074236366759,0.0502104443591885,0.0749780051484245,0.109857623931812,0.062360228636049,0.0713332280797439,0.0452664754951564,0.0815980014167446,0.0765570863740436,0.0651394834069235,0.390513524716834,0.546718934603567,"X196900135",-0.15564307819124,0.595194355992432,0.69632765882123,"dec.trend"
0.00635537702710323,0.0311617198680854,0.0267058621927734,0.00283970050199949,0.00213327915481512,0.00994783655453755,0.00485343698110157,0.0197919252555799,0.00572029065789045,0.00738137469841025,0.0203155525431592,0.00228208918806424,0.00624255199468818,0.00610768340624341,0.0116890802892296,0.00873696928303876,0.621164487031539,0.682955718725776,"X196900136",-0.250269188074263,0.388153445793924,0.525191828331744,"dec.trend"
0.0358534813601038,0.0246987327069463,0.0210325749910239,0.0274291670211861,0.0200883787078423,0.0247999286653737,0.0310303365072094,0.0436883618063235,0.0422659584867542,0.0479165060024164,0.0254696499055807,0.0567173319171941,0.0282640022499862,0.0461902006694389,0.031880342625518,0.03916029618555,0.302139607222178,0.463133704501149,"X196900143",0.453502604923933,0.103383296107192,0.23523168924242,"inc.trend"
0.0198754797215045,0.00569141103022007,0.00380463165453537,0.00570864885561133,0.00820296627387241,0.0172707817829198,0.0140247825047238,0.009362799304913,0.00889895402261397,0.0213472294138601,0.00364991282978793,0.0212564408020324,0.00213690702279851,0.00972524887660803,0.0114187684564774,0.0091921273828067,0.598706454382385,0.661728186422636,"X196900145",-0.0891074599471269,0.761945234645753,0.824786078740248,"dec.trend"
0.011645996211983,0.00616431252981561,0.00751950256226132,0.00662065004679656,0.0102410097521333,0.00804186450879422,0.0079083067533841,0.0102457629031166,0.011580696666558,0.00975002478819861,0.0173688006756145,0.0190508996789766,0.0200817069740875,0.0280023360064024,0.00897181267230414,0.0211259358337702,1.35098278168495e-05,0.000515829789370616,"X196900148",0.918109992211582,3.64266417977011e-06,0.000305983791100689,"increasing"
0.00695907150462556,0.00360483686972393,0.00198289649769886,0.0018745213987918,0.0029396078829744,0.00342183285405381,0.00403835596137459,0.00348671887341744,0.00592394669099677,0.00582798091859556,0.00456329717249553,0.00273180906998885,0.00422742257698809,0.00153570791268095,0.00400597694522527,0.00326455918303836,0.45869195470875,0.617279727860792,"X196900154",-0.162594685621125,0.578641066667889,0.681021537705213,"dec.trend"
0.0091582442441712,0.00510235828510983,0.00337418807324477,0.00588945375648771,0.0034792767167818,0.00279208185648365,0.0131322351070888,0.00582248200221164,0.00966144221056405,0.00463447505939987,0.0104386782023726,0.00611906094661251,0.00589461598012126,0.0070783156961245,0.00630462373115433,0.00738266770630772,0.563350372946551,0.629274352759445,"X196900157",0.198348416242907,0.496655435809747,0.63019722972838,"inc.trend"
0.010627676406492,0.0106900628461203,0.010759049515292,0.0206543010295244,0.00476178382771231,0.0165853006085735,0.00828553433276188,0.00635564532508858,0.00406660366906709,0.0115935322999409,0.0119464872760487,0.00470770599801932,0.0318999336022106,0.00498023587175757,0.0104379489860573,0.013383590687009,0.534843972492813,0.619417273460898,"X196900160",0.112510928491393,0.701758452626889,0.784217785709105,"inc.trend"
0.0117322382802005,0.00990189368012777,0.00180949505499886,0.00164053858589296,0.00932674725721251,0.00553400655386879,0.00867960242907616,0.0107817471959559,0.00896249470494314,0.00531385531771126,0.00121059670819183,0.00138743367827805,0.00474642713205042,0.00485045773829158,0.00736826190599878,0.00304872881420297,0.0457038484869971,0.13238356113475,"X196900162",-0.469846660540865,0.0900357154308303,0.213644070513835,"dec.trend"
0.0280154041601847,0.00886897724680065,0.00972476091001077,0.0123292989024079,0.0175551097114994,0.00947970306961814,0.0130278239020825,0.014175374060617,0.0133989377301313,0.0100915510802146,0.0248643515514848,0.028944737081318,0.0233117129759837,0.0301436752085913,0.0136666940773567,0.0268161192043444,0.00107493316114968,0.00765206657089606,"X196900164",0.681384022823319,0.00728802109117381,0.036440105455869,"increasing"
0.021480908991399,0.015605749486653,0.0175319058654568,0.00482589551603846,0.0135044189353921,0.0136929044338929,0.0130379282122444,0.0206128275146126,0.0211101697676692,0.0178328136992439,0.0336176181690993,0.0131806199436415,0.0281103305102192,0.00666464789570164,0.0159235522422602,0.0203933041296654,0.343194942665927,0.51479241399889,"X196900168",0.233103203374417,0.422543870546329,0.559837304824789,"inc.trend"
0.00848820971417388,0.00613942297720532,0.00725022032183308,0.0219677954564792,0.0107044900446973,0.0157660670099646,0.0386557225760602,0.0214704023831554,0.015823259148229,0.0233743532116325,0.00687575435760447,0.00177974251144633,0.00224418729395664,0.00730002000746224,0.016963994284343,0.00454992604261742,0.0327933804354301,0.102455785230078,"X196900171",-0.375591054857432,0.185704908821837,0.34511531727952,"dec.trend"
0.00776510314219659,0.00637587372700309,0.00553660606456246,0.00383146856121841,0.00779662738724096,0.00783008983704496,0.00633540247151427,0.0080990047617973,0.007502688259637,0.00655142908555417,0.00515047282137899,0.0150751845526005,0.00929279105572485,0.00732164969637324,0.00676242932977692,0.00921002453151939,0.113499784439964,0.224894986703386,"X196900178",0.424652953683564,0.130158833525808,0.266666878443119,"inc.trend"
0.0122662757026241,0.0131333872606973,0.0151185657864673,0.0244006849315068,0.0113774888256806,0.0155097081967944,0.013893426472619,0.0138932770643858,0.0154387565577243,0.0106570892411873,0.00744480730127548,0.00864514709189117,0.00880568063533116,0.00419345593761998,0.0145688660039687,0.00727227274152945,0.00411221165630978,0.0243257590936635,"X196900179",-0.733294461430338,0.00284218928761725,0.0205813707034353,"decreasing"
0.00649137413467694,0.00917594839566092,0.00453495773084832,0.00768686718284693,0.0170852803738318,0.00582937649078223,0.00995611361286346,0.00729784929250073,0.00833360487471081,0.0131726323597998,0.0174086706270818,0.0173572737406647,0.0116906500894485,0.0134401479470722,0.00895640044485219,0.0149741856010668,0.0138564925417279,0.0540325423485992,"X196900199",0.643640023883133,0.0130010276957861,0.0530138993420406,"increasing"
0.0130922093559376,0.0038205463256798,0.0086965923556484,0.00689185739811112,0.00373958756603007,0.00892797431953454,0.0150655264514,0.00345286723386969,0.00458959236208413,0.0109545476245561,0.00244656520368108,0.00108124141824427,0.00265301211107277,0.00178174562404356,0.00792313009928514,0.00199064108926042,0.0167622129625733,0.0612185169067894,"X196900215",-0.590514799515638,0.0261902762180468,0.0916659667631638,"decreasing"
