"","Wb1","Wb2","Wb3","Wb4","Wb5","Wb6","Wb7","Wb8","Wb9","Wb10","Wb11","Wb12","Wb13","Wb14","Wb15","Wb16","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X19690080",0,0,0.364611260053619,0,0.507372654155496,0.111260053619303,0,0,1,0,0,0.402815013404826,0,0.416890080428954,0,0.810991957104558,0.198838248436104,0.306970509383378,0.581835748980633,"X19690080",0.277365174302234,0.298316650789054,"inc.trend"
"X19690012",1,0.683428571428571,0.463428571428571,0,0.590857142857143,0.118285714285714,0,0,0.321714285714286,0,0,0,0,0,0,0,0.264809523809524,0,0.155527470361718,"X19690012",-0.731466144428858,0.00128101506372958,"decreasing"
"X19690056",0,0.814388489208633,0.441726618705036,0,0.802877697841727,0.169784172661871,0,0,1,0,0.351079136690647,0,0,0,0,0,0.298321342925659,0,0.147157373369098,"X19690056",-0.395295663413999,0.129662308417978,"dec.trend"
"X19690064",0,0,1,0,0,0.0945179584120983,0,0,0.493383742911153,0,0.5,0.359168241965974,0.234404536862004,0,0,0,0.203922495274102,0.0586011342155009,0.399307969548311,"X19690064",-0.0718912447932757,0.791332969607668,"dec.trend"
"X19690010",1,0,0.373831775700935,0,0,0.170560747663551,0,0.299065420560748,0,0,0,0,0,0,0,0,0.153621495327103,0,0.330457922804446,"X19690010",-0.534619904880432,0.032877433739231,"decreasing"
"X19690011",1,0,0.198845413726748,0,0,0.0769724182168056,0,0.148813341885824,0,0,0,0,0,0,0,0,0.118719264485781,0,0.430552651160477,"X19690011",-0.496675289321697,0.0503387947228481,"dec.trend"
"X19690021",0.211400744772272,1,0.19077628186766,0.228874248066457,0.11257519335434,0,0,0,0,0,0,0,0,0,0,0,0.145302205671727,0,0.335871502253542,"X19690021",-0.560614732637696,0.0238856261842654,"decreasing"
"X19690068",0,0,0.809322033898305,0.334745762711864,1,0.266949152542373,0,0,0.915254237288136,0,0,0,0,0,0,0,0.277189265536723,0,0.196445948471161,"X19690068",-0.371802490161716,0.156187425813089,"dec.trend"
"X19690082",0,0,0.363819095477387,0,0,0.190954773869347,0,0,1,0,0,0,0,0.489447236180905,0,0.546733668341709,0.129564489112228,0.259045226130653,0.463145434863742,"X19690082",0.248272049470787,0.353841426378331,"inc.trend"
"X19690090",0,0,0.389403973509934,0,0,0,0,0,0,0,0.439735099337748,0.450331125827815,0,0.501986754966887,0,1,0.106622516556291,0.375496688741722,0.118755638491175,"X19690090",0.55933598575783,0.0242779188797341,"increasing"
"X196900103",0,0,0,0,0,0.160949868073879,0,0,0.965699208443272,0,0,0.558047493403694,0,0.558047493403694,0,1,0.140391380826737,0.389511873350924,0.240907122181306,"X196900103",0.49870414312821,0.0492601650656127,"increasing"
"X196900114",0,0,0,0,0,0,0,0,0,0.784431137724551,0,1,0.949101796407186,0.880239520958084,0.940119760479042,0,0.148702594810379,0.692365269461078,0.0256440007842738,"X196900114",0.621131155313327,0.0102277596420435,"increasing"
"X1969005",1,0,0.228583916083916,0.125437062937063,0,0.0388986013986014,0,0,0,0,0,0,0,0,0,0,0.116076631701632,0,0.44296669661913,"X1969005",-0.516707127670183,0.040427682499719,"decreasing"
"X19690048",0,0.0791686625153015,0,0,0,0.313933684602693,0.134945979030284,0,0,0,0,0,1,0,0,0,0.0440040271790232,0.25,0.169587579510956,"X19690048",0.196133825457667,0.466605547924254,"inc.trend"
"X19690061",0,0,1,0.253031527890057,0,0.163298302344382,0,0,0.518997574777688,0,0,0,0,0,0,0,0.16127728375101,0,0.324567019382222,"X19690061",-0.309483167784196,0.243439943515897,"dec.trend"
"X19690066",0,0,1,0,0,0,0,0,0.667779632721202,0,0.707846410684474,0,0.437395659432387,0,0,0,0.197968836950473,0.109348914858097,0.658749831844043,"X19690066",-0.0323891501163164,0.905213997716098,"dec.trend"
"X19690097",0,0,0,0,1,0.224195338512764,0,0,0,0,0,0,0,0,0,0,0.102016278209397,0,0.503132156450931,"X19690097",-0.245816508490174,0.358776685325178,"dec.trend"
"X19690098",0,0,0,0,0.467724867724868,0,0,0,1,0,0,0,0,0.699470899470899,0,0.601058201058201,0.122310405643739,0.325132275132275,0.296141103596704,"X19690098",0.311621262850267,0.240027883063767,"inc.trend"
"X19690099",0,0,0,0,0.769503546099291,0,0,0,1,0,0,0,0,0.684397163120567,0,0.700354609929078,0.147458628841608,0.346187943262411,0.354749719446587,"X19690099",0.266975473446471,0.317516750103944,"inc.trend"
"X196900102",0,0,0,0,0,0.0288226673180264,0,1,0,0,0,0.0483634587200782,0,0.0784074255007328,0,0,0.0897655105031754,0.0196018563751832,0.641150237132756,"X196900102",-0.0275283549818091,0.919392090300827,"dec.trend"
"X196900104",0,0,0,0,0,0,0.871892720853097,0,0.988492219170917,0,1,0,0,0,0,0.156841066609603,0.238365411668668,0.0392102666524008,0.385283762451012,"X196900104",0.0777626888622603,0.774684960017234,"inc.trend"
"X196900112",0,0,0,0,0,0,0,0,1,0.539017341040462,0.528901734104046,0,0,0,0,0.848265895953757,0.172326589595376,0.212066473988439,0.848589501692121,"X196900112",0.367308551428803,0.16164807668633,"inc.trend"
"X196900113",0,0,0,0,0,0,0,0,0.0148296935766486,0,0,0,1,0.412368049916663,0,0.0167955895551092,0.00123580779805405,0.357290909867943,0.0130917950099351,"X196900113",0.407207424430347,0.117477234861181,"inc.trend"
"X196900131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.789599236641221,0,0.447399809160305,0.00646553631602883,"X196900131",0.567345857291287,0.0219003531920292,"increasing"
"X1969007",0.262612673214045,0,0,0,0,1,0,0,0,0,0.71855240145298,0,0,0,0,0,0.165097089555585,0,0.356329674086524,"X1969007",-0.144423805246201,0.593586895004944,"dec.trend"
"X19690018",1,1,0.70106075216972,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225088396014143,0,0.305816814230379,"X19690018",-0.649031518026948,0.00652175365166125,"decreasing"
"X19690037",1,0,0,0,0,0,0,0.782608695652174,0,0,0,0,0,0.739130434782609,0,0,0.148550724637681,0.184782608695652,0.861947231497713,"X19690037",-0.168490379629656,0.532774333427701,"dec.trend"
"X19690054",0,0.0181779260395669,0,0,1,0,0.193642185632481,0,0,0,0,0,0,0,0,0,0.100985009306004,0,0.505132830113544,"X19690054",-0.236818063612629,0.377187527903289,"dec.trend"
"X19690069",0,0,1,0.519269776876268,0.701825557809331,0,0,0,0,0,0,0,0,0,0,0,0.185091277890467,0,0.319584490824562,"X19690069",-0.420724320133417,0.10464345813691,"dec.trend"
"X19690095",0,0,0,0.970800845089104,0,0,0,0,0,1,0,0,0.00648027967522809,0,0,0,0.164233403757425,0.00162006991880702,0.421402946408569,"X19690095",-0.106576651680662,0.694432023333839,"dec.trend"
"X196900100",0,0,0,0,0.881081081081081,0,0,0,1,0,0,0,0,0.404054054054054,0,0,0.156756756756757,0.101013513513514,0.779626325183356,"X196900100",-0.0470112647022879,0.862741325392203,"dec.trend"
"X196900117",0,0,0,0,0,0,0,0,0,0,0.442825112107623,1,0,0.399103139013453,0,0,0.120235426008969,0.0997757847533632,0.903021821349554,"X196900117",0.314542995972611,0.235413896428882,"inc.trend"
"X196900118",0,0,0,0,0,0,0,0,0,0,0.493108728943338,0,0,0.485451761102603,0,1,0.0410923940786115,0.371362940275651,0.0412432193323589,"X196900118",0.601593797769492,0.0136887953515675,"increasing"
"X196900124",0,0,0,0,0,0,0,0,0,0,0,0,0.933333333333333,0.458666666666667,0,1,0,0.598,0.00028098014605683,"X196900124",0.654630985076889,0.00592744716341728,"increasing"
"X196900132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691489361702128,1,0,0.422872340425532,0.00726753641485496,"X196900132",0.592128461039729,0.0156651249671394,"increasing"
"X1969003",1,0.379450418160096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114954201513341,0,0.465390642394627,"X1969003",-0.535590977829706,0.0325011944538176,"decreasing"
"X1969008",1,0.468453378001117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122371114833426,0,0.449662122224939,"X1969008",-0.549694655624436,0.027397234085114,"decreasing"
"X19690013",1,0.795527156549521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149627263045793,0,0.420344329561529,"X19690013",-0.571389879569183,0.0207703595652937,"decreasing"
"X19690017",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690017",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690025",1,0,0,0,0,0,0,0.946666666666667,0,0,0,0,0,0,0,0,0.162222222222222,0,0.417041395893365,"X19690025",-0.360961524210841,0.169576094550959,"dec.trend"
"X19690030",1,0.936542669584245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161378555798687,0,0.417129468439315,"X19690030",-0.570744254492725,0.0209476727312111,"decreasing"
"X19690034",0.875264270613108,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.156272022551092,0,0.418040361187414,"X19690034",-0.231353620716703,0.388615026829445,"dec.trend"
"X19690046",1,0,0,0,0,0,0,0,0,0,0.945098039215686,0,0,0,0,0,0.162091503267974,0,0.417053958590574,"X19690046",-0.231929555990169,0.38740186652364,"dec.trend"
"X19690049",0,0.160665200659703,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0133887667216419,0.25,0.103181419372378,"X19690049",0.267795110015501,0.315976531220978,"inc.trend"
"X19690050",0,1,0,0,0,0,0,0,0.214003387916431,0,0,0,0,0,0,0,0.101166948993036,0,0.506093785062838,"X19690050",-0.348698807903372,0.185616375512329,"dec.trend"
"X19690053",0,1,0.349721706864564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11247680890538,0,0.471568382288373,"X19690053",-0.424190308434911,0.101518629715312,"dec.trend"
"X19690057",0,1,0.516007532956685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126333961079724,0,0.442841675615421,"X19690057",-0.440748355870584,0.0874967021750208,"dec.trend"
"X19690070",0,0,0.944550669216061,0,0,0,0,0,1,0,0,0,0,0,0,0,0.162045889101338,0,0.417058435107346,"X19690070",-0.183956237968246,0.495243460572145,"dec.trend"
"X19690074",0,0,1,0,0,0.334608030592734,0,0,0,0,0,0,0,0,0,0,0.111217335882728,0,0.474894914562681,"X19690074",-0.295369269536692,0.26671883791832,"dec.trend"
"X19690081",0,0,0.92507204610951,0,0,0,0,0,1,0,0,0,0,0,0,0,0.160422670509126,0,0.417249641209296,"X19690081",-0.181973524303217,0.499983590601325,"dec.trend"
"X19690087",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.166666666666667,0,0.416836674754252,"X19690087",-0.0945985561423835,0.727477788135774,"dec.trend"
"X19690096",0,0,0,0,1,0,0,0,0,0,0,0,0,0.292682926829268,0,0,0.0833333333333333,0.0731707317073171,0.947921003993651,"X19690096",-0.116775974346363,0.666692161738482,"dec.trend"
"X196900106",0,0,0,0,0,0,1,0,0,0,0,0.653206650831354,0,0,0,0,0.137767220902613,0,0.428493433389096,"X196900106",0.0156870251890393,0.954018593556325,"inc.trend"
"X196900127",0,0,0,0,0,0,0,0,0,0,0,0,0,0.605263157894737,0,1,0,0.401315789473684,0.00846999366797573,"X196900127",0.588500634735091,0.016478933765345,"increasing"
"X196900129",0,0,0,0,0,0,0,0,0,0,0,0,0,0.455421686746988,0,1,0,0.363855421686747,0.0124974104078031,"X196900129",0.577695836550169,0.0190988116531438,"increasing"
"X196900133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590994371482176,1,0,0.397748592870544,0.00872991347995991,"X196900133",0.589266613201293,0.0163044263168271,"increasing"
"X19690014",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690014",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690016",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690016",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690022",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690024",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690024",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690026",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690026",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690027",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690027",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690028",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690028",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690031",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690031",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690032",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690032",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690033",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690033",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690035",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690035",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690038",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690038",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690039",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690039",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690040",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690040",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690043",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690043",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690044",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690044",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690045",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690045",-0.426905879420705,0.0991168554039947,"dec.trend"
"X19690047",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690047",-0.350865830264771,0.182711989845822,"dec.trend"
"X19690051",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690051",-0.350865830264771,0.182711989845822,"dec.trend"
"X19690055",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690055",-0.350865830264771,0.182711989845822,"dec.trend"
"X19690058",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690058",-0.350865830264771,0.182711989845822,"dec.trend"
"X19690063",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690063",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690065",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690065",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690067",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690067",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690071",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690071",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690072",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690072",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690073",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690073",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690075",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690075",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690076",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690076",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690077",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690077",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690078",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690078",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690079",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690079",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690084",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690084",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690085",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690085",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690086",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690086",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690089",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690089",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690091",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690091",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690092",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690092",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690093",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690093",-0.254723239377959,0.341058469716009,"dec.trend"
"X19690094",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X19690094",-0.254723239377959,0.341058469716009,"dec.trend"
"X196900101",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X196900101",-0.150714436509498,0.57742207255603,"dec.trend"
"X196900105",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X196900105",-0.0877847406563113,0.746483165071938,"dec.trend"
"X196900107",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X196900107",-0.0563198927297181,0.835878126124612,"dec.trend"
"X196900108",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X196900108",-0.0563198927297181,0.835878126124612,"dec.trend"
"X196900109",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X196900109",-0.0563198927297181,0.835878126124612,"dec.trend"
"X196900110",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X196900110",-0.0563198927297181,0.835878126124612,"dec.trend"
"X196900111",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X196900111",-0.0563198927297181,0.835878126124612,"dec.trend"
"X196900115",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X196900115",0.125477006401709,0.643341570731296,"inc.trend"
"X196900116",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X196900116",0.125477006401709,0.643341570731296,"inc.trend"
"X196900119",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X196900119",0.125477006401709,0.643341570731296,"inc.trend"
"X196900120",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X196900120",0.162185995649401,0.54842982782647,"inc.trend"
"X196900121",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X196900121",0.162185995649401,0.54842982782647,"inc.trend"
"X196900122",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0833333333333333,0,0.581626836953901,"X196900122",0.162185995649401,0.54842982782647,"inc.trend"
