Wb1_RT;Wb1;Wb10_RT;Wb10;Wb11_RT;Wb11;Wb12_RT;Wb12;Wb13_RT;Wb13;Wb14_RT;Wb14;Wb15_RT;Wb15;Wb16_RT;Wb16;Wb17_RT;Wb17;Wb2_RT;Wb2;Wb3_RT;Wb3;Wb4_RT;Wb4;Wb5_RT;Wb5;Wb6_RT;Wb6;Wb7_RT;Wb7;Wb8_RT;Wb8
0.297;2306359;0.297;2064390;0.297;2110106;0.297;2125570;0.297;2277240;0.297;2731468;0.297;2004827;0.297;1910199;0.297;2057270;0.297;1911235;0.297;2230800;0.297;2317478;0.297;3538738;0.297;2090064;0.297;4199273;0.297;2305507
0.307;2307181;0.307;2021161;0.307;2149996;0.307;2101131;0.307;2248583;0.307;2728986;0.308;2045906;0.307;2011553;0.307;2133127;0.307;1931062;0.307;2267145;0.307;2312953;0.307;3404286;0.307;1997630;0.307;3826982;0.307;2300740
0.318;2382872;0.317;2020007;0.317;2188641;0.317;2173074;0.317;2342333;0.317;2729398;0.318;2062712;0.317;2036930;0.317;2111773;0.317;1962482;0.317;2263242;0.317;2369468;0.317;3075639;0.317;2116151;0.317;3430930;0.317;2361406
0.328;2511128;0.328;2122084;0.328;2257741;0.328;2249838;0.328;2443695;0.328;2766877;0.328;2083157;0.328;2125653;0.328;2302690;0.328;2095759;0.328;2458429;0.328;2508581;0.328;3056537;0.328;2335700;0.328;3089110;0.328;2439571
0.339;2998361;0.338;2509897;0.338;2557440;0.338;2804023;0.338;3063229;0.338;3094623;0.339;2357470;0.338;2593371;0.338;2795343;0.338;2638079;0.338;3021263;0.338;2794730;0.338;3555324;0.338;3044695;0.338;2974084;0.338;2666248
0.349;4652346;0.349;3588616;0.349;3668422;0.349;4443475;0.349;4943205;0.349;4196290;0.349;3346482;0.349;4195584;0.349;4080957;0.349;3817920;0.349;4217764;0.349;3854586;0.349;4637575;0.349;4301678;0.349;3644506;0.349;3996875
0.360;7787469;0.359;7408356;0.359;6879840;0.359;6620641;0.359;7618783;0.359;6363557;0.360;5376760;0.359;6701711;0.359;7046469;0.359;5985646;0.359;6244544;0.359;8032085;0.359;9313020;0.360;8004262;0.359;5500028;0.359;24153668
0.370;12773434;0.370;15238251;0.370;13253541;0.370;8884940;0.370;10749937;0.370;10185381;0.370;9063385;0.370;9645068;0.370;11393541;0.370;9262877;0.370;10472342;0.370;15430372;0.370;18483156;0.370;15649640;0.370;9712453;0.370;38363232
0.380;18094500;0.380;19363304;0.380;16700992;0.380;13101296;0.380;16272259;0.380;14746201;0.381;13645044;0.380;13805451;0.380;16300797;0.380;13774334;0.380;16150869;0.380;20796420;0.380;22658640;0.380;20229750;0.380;13877105;0.380;39219124
0.391;23509746;0.391;22778304;0.391;20528714;0.391;19086912;0.391;21249126;0.391;19756116;0.391;19088896;0.391;19241264;0.391;20544592;0.391;18874076;0.391;21418296;0.391;25693578;0.391;25614180;0.391;22509252;0.391;18947992;0.391;35790464
0.402;26991582;0.401;24478286;0.401;22712912;0.401;21972850;0.401;24354316;0.401;22159854;0.402;21665012;0.401;22089972;0.401;22116656;0.401;21770964;0.401;23612566;0.401;27116244;0.401;27884854;0.401;23336430;0.401;21308380;0.401;29905814
0.412;31985400;0.412;24460852;0.412;24305328;0.412;23601960;0.412;27839932;0.412;23265448;0.412;22567976;0.412;24576246;0.412;24108962;0.412;23915720;0.412;27255534;0.412;26870132;0.412;28237268;0.412;23771766;0.412;22510946;0.412;26011168
