Wb1_RT;Wb1;Wb10_RT;Wb10;Wb11_RT;Wb11;Wb12_RT;Wb12;Wb13_RT;Wb13;Wb14_RT;Wb14;Wb15_RT;Wb15;Wb16_RT;Wb16;Wb17_RT;Wb17;Wb2_RT;Wb2;Wb3_RT;Wb3;Wb4_RT;Wb4;Wb5_RT;Wb5;Wb6_RT;Wb6;Wb7_RT;Wb7;Wb8_RT;Wb8
3.389;3968302;3.388;4447754;3.388;3805386;3.389;4800351;3.388;4722537;3.389;4046358;3.389;3996932;3.388;3885845;3.388;3787982;3.388;4356239;3.388;4275432;3.388;4199669;3.388;5620450;3.388;3960568;3.388;3540436;3.388;3680863
3.399;3858371;3.399;4343758;3.399;3765012;3.399;4751819;3.398;4892880;3.399;4042630;3.399;3972648;3.399;3864372;3.398;3835166;3.399;4349834;3.398;4245220;3.398;3991458;3.398;5554253;3.399;3940523;3.399;3542581;3.399;3667676
3.409;3697558;3.409;4263981;3.409;3608736;3.410;4621104;3.409;5019859;3.409;3953480;3.410;3940271;3.409;3909515;3.409;3817237;3.409;4332957;3.409;4212041;3.409;4003150;3.409;5375740;3.409;3836621;3.409;3511824;3.409;3603409
3.420;3506734;3.420;4165011;3.420;3560259;3.420;4670562;3.419;4909980;3.420;3830450;3.420;3891488;3.420;3928346;3.419;3662703;3.420;4195442;3.419;4192403;3.419;3856920;3.419;5250033;3.420;3640394;3.420;3391578;3.420;3679037
3.430;3383279;3.430;4148501;3.430;3386821;3.431;4583521;3.430;4935800;3.430;3819464;3.431;3786110;3.430;3837810;3.430;3468827;3.430;3966583;3.430;4182187;3.430;3657378;3.430;5146214;3.430;3654096;3.430;3318953;3.430;3681270
3.441;3257762;3.441;3982967;3.441;3335437;3.441;4312287;3.440;4756022;3.441;3757168;3.441;3809487;3.440;3764387;3.440;3304475;3.441;3844978;3.440;4088012;3.440;3630678;3.440;5094538;3.441;3473277;3.441;3276148;3.441;3634811
3.451;3244398;3.451;3972594;3.451;3235699;3.451;4178871;3.451;4580475;3.451;3669303;3.451;3674648;3.451;3769646;3.451;3172214;3.451;3701486;3.451;4059001;3.451;3615091;3.451;4999342;3.451;3356561;3.451;3279429;3.451;3811226
3.462;3244883;3.462;3897304;3.462;3166175;3.462;4042734;3.461;4494037;3.462;3603175;3.462;3639973;3.461;3782602;3.461;3104289;3.462;3704873;3.461;4028116;3.461;3774293;3.461;4896671;3.461;3323186;3.462;3149244;3.462;3807151
3.472;3247759;3.472;3953359;3.472;3182246;3.472;3937433;3.472;4393808;3.472;3492135;3.472;3556470;3.472;3747950;3.472;3035327;3.472;3574553;3.472;4103511;3.472;4004711;3.472;4919040;3.472;3317684;3.472;3112001;3.472;3911710
3.483;3349083;3.482;3818850;3.482;3202435;3.483;3824688;3.482;4382148;3.483;3494050;3.483;3447104;3.482;3743222;3.482;2916546;3.483;3502386;3.482;4176409;3.482;4289599;3.482;4987110;3.482;3269140;3.483;3058054;3.483;3958594
3.493;3418974;3.493;3822778;3.493;3211658;3.493;3870257;3.493;4342724;3.493;3442759;3.493;3402963;3.493;3815136;3.493;2904651;3.493;3548339;3.493;4206499;3.493;4636341;3.493;4992411;3.493;3322492;3.493;3030374;3.493;4130487
3.504;3339471;3.503;3806575;3.503;3270794;3.504;3818204;3.503;4371018;3.504;3506940;3.504;3417332;3.503;3782442;3.503;2902983;3.504;3614481;3.503;4269940;3.503;4892164;3.503;4992319;3.503;3319448;3.504;3032478;3.504;4175324
3.514;3382338;3.514;3898304;3.514;3312545;3.514;3983534;3.514;4292247;3.514;3473136;3.514;3405006;3.514;3692034;3.514;2927344;3.514;3600134;3.514;4315645;3.514;5192589;3.514;4967406;3.514;3431721;3.514;3005020;3.514;4103656
3.525;3392126;3.524;3895735;3.524;3300512;3.525;4133480;3.524;4283579;3.525;3474101;3.525;3418296;3.524;3746323;3.524;2928772;3.525;3688424;3.524;4338320;3.524;5336678;3.524;4943780;3.524;3468140;3.525;2976535;3.525;4140280
3.535;3401973;3.535;3835680;3.535;3313066;3.535;4085823;3.535;4229976;3.535;3499881;3.535;3355651;3.535;3646010;3.535;2965532;3.535;3695382;3.535;4294114;3.535;5361766;3.535;4988451;3.535;3460089;3.535;3079751;3.535;4093228
3.546;3527808;3.545;3739805;3.545;3413601;3.546;4139921;3.545;4119452;3.546;3487725;3.546;3401869;3.545;3661533;3.545;2972982;3.545;3698381;3.545;4198820;3.545;5204293;3.545;5053376;3.545;3468127;3.545;3026164;3.546;4001603
3.568;3448676;3.567;3726242;3.567;3281786;3.568;3941050;3.567;3978946;3.568;3461712;3.568;3201008;3.567;3519497;3.567;2936911;3.567;3748299;3.567;3989799;3.567;4895671;3.567;5077071;3.567;3309624;3.567;2926637;3.568;3788356
3.578;3550113;3.578;3770023;3.578;3288313;3.578;3889949;3.577;4118645;3.578;3480117;3.578;3332135;3.578;3478831;3.578;2992833;3.578;3807310;3.578;3864718;3.578;4724525;3.577;4961972;3.578;3354313;3.578;2921304;3.578;3705294
3.589;3576193;3.588;3707602;3.588;3293066;3.589;3885130;3.588;4132031;3.589;3561593;3.589;3302781;3.588;3508636;3.588;3037430;3.588;3841326;3.588;3819080;3.588;4511724;3.588;4971899;3.588;3296159;3.588;3021668;3.588;3629928
3.599;3671282;3.599;3714504;3.599;3205904;3.599;3967848;3.598;4085364;3.599;3626524;3.599;3269392;3.599;3427006;3.598;3072566;3.599;3748782;3.598;3702546;3.598;4425460;3.598;5010964;3.599;3306048;3.599;2995742;3.599;3600467
3.609;3712336;3.609;3763219;3.609;3251201;3.610;3840605;3.609;4120206;3.609;3623176;3.610;3271717;3.609;3441672;3.609;3026810;3.609;3739454;3.609;3619705;3.609;4250699;3.609;5050124;3.609;3281846;3.609;3012671;3.609;3608589
3.620;3726322;3.620;3789811;3.620;3209196;3.620;3900222;3.619;3937879;3.620;3694656;3.620;3223127;3.619;3510349;3.619;3013999;3.620;3685375;3.619;3539133;3.619;4113235;3.619;5005144;3.620;3167396;3.620;3011344;3.620;3533825
3.630;3835714;3.630;3659136;3.630;3172092;3.631;3931640;3.630;3978374;3.630;3721376;3.631;3249157;3.630;3412407;3.630;3043205;3.630;3744908;3.630;3617252;3.630;4042875;3.630;5006117;3.630;3112037;3.630;3062182;3.630;3481250
3.641;3851956;3.641;3752991;3.641;3117960;3.641;3964098;3.640;4016212;3.641;3801194;3.641;3327387;3.640;3415650;3.640;3033764;3.641;3773402;3.640;3548392;3.640;3912902;3.640;5061965;3.641;3121581;3.641;2986638;3.641;3486082
3.651;3875932;3.651;3806496;3.651;3196069;3.651;3987253;3.651;4052534;3.651;3851507;3.652;3321053;3.651;3446498;3.651;3126682;3.651;3726637;3.651;3471021;3.651;3880347;3.651;5071623;3.651;3097238;3.651;2969607;3.651;3450744
3.662;3869480;3.661;3836306;3.662;3291028;3.662;3977191;3.661;3996689;3.662;3858589;3.662;3384411;3.661;3498427;3.661;3121248;3.662;3655067;3.661;3542451;3.661;3891689;3.661;5083001;3.661;3197553;3.662;2976335;3.662;3425971
3.672;3918711;3.672;3843781;3.672;3211009;3.672;4031303;3.672;3975597;3.672;3805906;3.673;3431085;3.672;3408479;3.672;3075847;3.672;3730083;3.672;3537896;3.672;3869509;3.672;5022886;3.672;3154607;3.672;3018144;3.672;3407290
3.683;3899210;3.682;3939628;3.682;3255002;3.683;3890807;3.682;4010432;3.683;3818301;3.683;3438044;3.682;3472209;3.682;3018220;3.683;3803631;3.682;3591731;3.682;3973353;3.682;5062626;3.682;3217208;3.683;2987203;3.683;3437660
3.693;3981721;3.693;3966211;3.693;3205488;3.693;3933308;3.693;4026602;3.693;3766310;3.694;3329265;3.693;3505471;3.693;3042996;3.693;3871452;3.693;3457076;3.693;3923777;3.693;5239835;3.693;3226029;3.693;2963508;3.693;3401916
3.704;3990917;3.703;4034300;3.703;3258843;3.704;3885275;3.703;3954188;3.704;3868543;3.704;3396012;3.703;3475344;3.703;3047311;3.704;3860319;3.703;3413494;3.703;4089692;3.703;5143209;3.703;3173289;3.704;2985800;3.704;3474129
3.714;4018233;3.714;4090176;3.714;3254998;3.714;3865958;3.714;3928793;3.714;3819343;3.715;3381174;3.714;3498806;3.714;3132523;3.714;3895078;3.714;3466681;3.714;4061656;3.714;5283212;3.714;3151273;3.714;3057622;3.714;3508364
3.725;4123149;3.724;4169036;3.724;3165591;3.725;3742584;3.724;3965328;3.725;3884893;3.725;3367779;3.724;3539052;3.724;3113073;3.725;3865602;3.724;3399794;3.724;4072363;3.724;5212654;3.724;3196204;3.725;3073852;3.725;3613537
3.735;4167505;3.735;4262055;3.735;3217463;3.735;3700645;3.735;3907086;3.735;3916047;3.735;3399417;3.735;3426643;3.735;3204628;3.735;4037811;3.735;3579349;3.735;3960892;3.735;5139847;3.735;3222687;3.735;3095215;3.735;3666862
3.746;4185328;3.745;4449948;3.745;3149922;3.746;3751383;3.745;3883925;3.746;3935808;3.746;3442289;3.745;3491448;3.745;3277908;3.745;4015838;3.745;3634327;3.745;3981173;3.745;5288613;3.745;3265118;3.745;3105160;3.746;3783168
3.756;4282704;3.756;4514216;3.756;3305528;3.756;3667670;3.756;3842891;3.756;3977071;3.756;3432951;3.756;3563485;3.756;3235474;3.756;4033160;3.756;3635245;3.756;3945195;3.756;5149504;3.756;3231287;3.756;3110365;3.756;3938896
3.767;4299613;3.766;4724399;3.766;3276727;3.767;3787210;3.766;3872458;3.767;3860390;3.767;3528421;3.766;3539671;3.766;3404072;3.766;4007780;3.766;3680086;3.766;3965036;3.766;5102133;3.766;3262608;3.766;3140875;3.767;4040177
3.777;4300519;3.777;4926632;3.777;3440311;3.777;3762295;3.776;3946523;3.777;3964985;3.777;3594718;3.777;3597017;3.777;3313415;3.777;4080772;3.777;3751469;3.777;3870585;3.776;5087038;3.777;3280101;3.777;3178137;3.777;4248990
3.788;4388471;3.787;5100097;3.787;3398639;3.788;3870027;3.787;3969271;3.788;4126760;3.788;3650162;3.787;3669336;3.787;3424733;3.787;4123493;3.787;3887212;3.787;3876658;3.787;5182112;3.787;3358715;3.787;3233367;3.787;4373040
3.798;4506127;3.798;5232007;3.798;3533407;3.798;3882900;3.797;4107570;3.798;4135903;3.798;3742298;3.798;3896026;3.797;3448647;3.798;4245659;3.797;4076420;3.797;4010541;3.797;5247628;3.798;3515887;3.798;3264757;3.798;4664250
3.820;4717203;3.820;5888325;3.820;3846516;3.820;3902874;3.819;4200938;3.820;4241923;3.820;3997355;3.819;4232835;3.819;3630531;3.820;4229927;3.819;4415598;3.819;4048567;3.819;5529625;3.820;3657202;3.820;3419321;3.820;5211046
3.830;4836480;3.830;5909802;3.830;4023267;3.831;4068944;3.830;4244760;3.830;4305222;3.831;4068277;3.830;4473187;3.830;3668301;3.830;4275078;3.830;4516428;3.830;4112718;3.830;5621029;3.830;3813250;3.830;3453502;3.830;5679619
3.841;4875327;3.841;6156402;3.841;4154837;3.841;4004183;3.840;4045606;3.841;4306295;3.841;4068184;3.840;4608810;3.840;3813834;3.841;4304678;3.840;4531917;3.840;4170471;3.840;5629884;3.841;3947193;3.841;3509567;3.841;6107166
3.851;4844388;3.851;6287807;3.851;4217762;3.851;3851345;3.851;3978467;3.851;4244473;3.852;4052911;3.851;4658463;3.851;3875936;3.851;4296061;3.851;4567515;3.851;4030472;3.851;5459286;3.851;3960971;3.851;3483129;3.851;6375099
3.862;4932499;3.862;6249547;3.862;4219084;3.862;3678852;3.861;4016222;3.862;3997584;3.862;3945832;3.861;4723002;3.861;3761651;3.862;4321822;3.861;4594575;3.861;3878042;3.861;5301227;3.861;3906309;3.862;3335016;3.862;6688411
3.872;4803570;3.872;6302801;3.872;4108626;3.872;3704116;3.872;4127316;3.872;3849181;3.873;3839901;3.872;4722040;3.872;3601050;3.872;4160476;3.872;4420849;3.872;3614358;3.872;5008837;3.872;3843406;3.872;3340767;3.872;7100506
3.883;4740749;3.882;6236993;3.882;4093320;3.883;3765292;3.882;4303550;3.883;3925916;3.883;3951410;3.882;4669693;3.882;3434375;3.883;4030652;3.882;4391348;3.882;3521378;3.882;4812862;3.882;3774739;3.883;3396332;3.883;7290991
3.893;4610957;3.893;6257957;3.893;3982417;3.893;3819762;3.893;4387746;3.893;3892020;3.894;3992091;3.893;4567258;3.893;3372281;3.893;3793738;3.893;4456297;3.893;3500336;3.893;4760858;3.893;3742066;3.893;3531413;3.893;7558661
3.904;4544249;3.904;6144971;3.903;3918607;3.904;3949990;3.903;4521270;3.904;3936038;3.904;4142031;3.903;4431652;3.903;3367316;3.904;3826833;3.903;4498735;3.903;3423055;3.903;4707078;3.903;3682106;3.904;3671022;3.904;7802011
3.914;4429809;3.914;6115376;3.914;3894129;3.914;3930585;3.914;4548291;3.914;3965719;3.915;4381053;3.914;4315709;3.914;3362016;3.914;3751894;3.914;4573319;3.914;3537618;3.914;4679006;3.914;3711779;3.914;3815124;3.914;8134923
3.925;4391187;3.924;6070242;3.924;3802517;3.925;4025343;3.924;4697045;3.925;4004629;3.925;4551946;3.924;4305671;3.924;3453504;3.924;3754848;3.924;4651276;3.924;3556417;3.924;4799360;3.924;3721544;3.924;3952490;3.925;8540856
3.935;4377376;3.935;6050751;3.935;3826537;3.935;4114056;3.935;4760898;3.935;4007519;3.935;4559367;3.935;4144318;3.935;3439895;3.935;3756864;3.935;4760598;3.935;3639406;3.935;4793425;3.935;3588833;3.935;4126120;3.935;9269344
3.946;4361068;3.945;5992386;3.945;3754977;3.946;4099096;3.945;4789239;3.946;4114916;3.946;4713891;3.945;4062425;3.945;3437032;3.945;3731107;3.945;4833299;3.945;3603576;3.945;4772620;3.945;3634910;3.945;4061203;3.946;9845915
3.956;4119212;3.956;5996127;3.956;3685865;3.956;4147719;3.956;4720901;3.956;4055960;3.956;4843899;3.956;4052751;3.956;3378290;3.956;3610821;3.956;4886087;3.956;3546802;3.956;4885697;3.956;3661404;3.956;4064827;3.956;10831446
3.967;3964670;3.966;6058996;3.966;3574309;3.967;4061094;3.966;4773704;3.967;4067045;3.967;5043885;3.966;4016172;3.966;3357557;3.966;3626940;3.966;5030670;3.966;3437321;3.966;4994612;3.966;3546945;3.966;4146127;3.967;11902987
3.977;3785853;3.977;6019638;3.977;3558516;3.977;4107672;3.977;4876074;3.977;4061880;3.977;5165908;3.977;3949043;3.977;3258329;3.977;3551766;3.977;5245074;3.977;3333642;3.976;5111469;3.977;3479627;3.977;4151673;3.977;12615636
3.988;3727222;3.987;6033991;3.987;3460160;3.988;4017928;3.987;4857245;3.988;3933652;3.988;5388745;3.987;3878632;3.987;3110229;3.987;3406511;3.987;5551447;3.987;3266241;3.987;5381773;3.987;3391105;3.987;4227913;3.987;13581013
3.998;3846872;3.998;6164757;3.998;3529784;3.998;3959113;3.998;5124685;3.998;3828672;3.998;5594004;3.998;3778807;3.997;2976641;3.998;3217769;3.997;5980170;3.997;3218479;3.997;5764390;3.998;3354976;3.998;4256176;3.998;14298510
4.009;4079263;4.008;6313884;4.008;3578711;4.009;3956387;4.008;5615550;4.008;3811410;4.009;5855665;4.008;3666813;4.008;2837713;4.008;3127766;4.008;6431845;4.008;3204648;4.008;6368858;4.008;3251195;4.008;4424043;4.008;14694360
4.019;4616154;4.019;6369075;4.019;3774848;4.019;3923165;4.019;6274611;4.019;3834242;4.019;6102539;4.018;3650082;4.018;2728465;4.019;3001881;4.018;6970803;4.018;3273022;4.018;6958982;4.019;3233105;4.019;4897835;4.019;15114940
4.030;5046054;4.029;6493612;4.029;4143073;4.030;3956124;4.029;7128840;4.029;3952258;4.030;6378015;4.029;3610016;4.029;2769614;4.029;3131904;4.029;7607113;4.029;3459308;4.029;7521803;4.029;3198639;4.029;5601038;4.029;15134689
4.040;5541872;4.040;6680166;4.040;4446490;4.040;4231673;4.040;8147789;4.040;4283561;4.040;6672482;4.039;3705150;4.039;2761715;4.040;3307171;4.039;8197838;4.039;3650337;4.039;7929251;4.040;3266004;4.040;6496548;4.040;15081192
4.050;5862726;4.050;6693216;4.050;4795332;4.050;4523799;4.050;9073712;4.050;4490151;4.051;6806615;4.050;3897282;4.050;2855626;4.050;3508968;4.050;8750420;4.050;3830545;4.050;8327431;4.050;3413629;4.050;7630670;4.050;14831264
4.072;6337780;4.072;6699311;4.072;5263185;4.072;5545656;4.072;11109628;4.072;5531336;4.073;7154553;4.072;4439581;4.072;3168369;4.072;4140681;4.072;9139529;4.072;4317941;4.072;8647375;4.072;4046005;4.072;10106584;4.072;14145262
4.083;6517964;4.083;6420707;4.082;5458802;4.083;6118578;4.083;11453360;4.083;6331772;4.083;7162008;4.082;5112303;4.082;3409515;4.083;4474630;4.082;9134708;4.082;4547951;4.082;8179699;4.082;4455637;4.083;10980036;4.083;13401209
4.093;6663920;4.093;6318688;4.093;5440101;4.093;6798349;4.093;11622187;4.093;7245845;4.094;7069778;4.093;5655678;4.093;3611320;4.093;4926729;4.093;8908901;4.093;4741834;4.093;8014373;4.093;4931181;4.093;11533585;4.093;12645235
4.104;6926189;4.104;6086530;4.103;5461473;4.104;7417636;4.104;11679883;4.104;8160724;4.104;7043250;4.103;6344739;4.103;3765605;4.104;5269489;4.103;8792343;4.103;4924396;4.103;7875811;4.103;5666456;4.104;11728855;4.104;11997982
4.114;7157938;4.114;5893741;4.114;5373425;4.114;7972601;4.114;11657629;4.114;9158129;4.115;6818842;4.114;7044031;4.114;3962255;4.114;5541217;4.114;8494148;4.114;5120364;4.114;7547954;4.114;6424439;4.114;11901038;4.114;11119729
4.125;7420635;4.125;5803873;4.124;5288814;4.125;8436818;4.125;11413549;4.125;9926694;4.125;6838300;4.124;7755704;4.124;4061741;4.124;5870374;4.124;8343356;4.124;5398100;4.124;7371375;4.124;7198285;4.124;11931277;4.125;10533069
4.135;7785291;4.135;5777019;4.135;5220979;4.135;8728743;4.135;11135881;4.135;10678777;4.135;6603104;4.135;8266018;4.135;4283281;4.135;6092246;4.135;8231314;4.135;5849147;4.135;7348484;4.135;8017631;4.135;11660022;4.135;10083832
4.146;7947142;4.145;5635034;4.145;5117751;4.146;9006530;4.146;11131154;4.146;11199834;4.146;6587533;4.145;8603935;4.145;4448773;4.145;6352873;4.145;8122054;4.145;6262944;4.145;7092750;4.145;8736251;4.145;11509303;4.146;9825557
4.156;8197356;4.156;5643043;4.156;5143187;4.156;9013969;4.156;10875464;4.156;11663947;4.156;6573420;4.156;8844414;4.156;4738862;4.156;6715755;4.156;7979944;4.156;6692094;4.156;7095941;4.156;9298167;4.156;11236006;4.156;9615028
4.167;8260897;4.166;5621715;4.166;4935326;4.167;8968505;4.166;10648165;4.167;11718100;4.167;6381349;4.166;8909949;4.166;4953730;4.166;6820971;4.166;7839835;4.166;7144197;4.166;7096714;4.166;9616757;4.166;11014849;4.166;9375341
4.177;8301303;4.177;5496406;4.177;4870822;4.177;8980490;4.177;10369572;4.177;11879496;4.177;6336376;4.177;9001980;4.177;5222395;4.177;7067619;4.176;7751421;4.176;7623883;4.176;7099853;4.177;9847465;4.177;10752292;4.177;9170509
4.188;8180227;4.187;5536506;4.187;4959652;4.188;8836210;4.187;10269148;4.188;11841202;4.188;6144998;4.187;8868985;4.187;5492518;4.187;7257207;4.187;7745750;4.187;7917533;4.187;6927671;4.187;9883965;4.187;10556024;4.187;9029695
4.198;8122831;4.198;5473229;4.198;4926522;4.198;8630841;4.198;10199102;4.198;11756612;4.198;6097780;4.198;8665640;4.198;5867486;4.198;7644257;4.197;7577078;4.197;8314664;4.197;7044843;4.198;9871517;4.198;10349831;4.198;8765070
4.209;7952554;4.208;5487764;4.208;4925685;4.209;8488873;4.208;10029994;4.208;11575660;4.209;6030705;4.208;8428631;4.208;6162889;4.208;7881196;4.208;7482945;4.208;8546384;4.208;6969045;4.208;9757954;4.208;10030415;4.208;8490910
4.219;7722966;4.219;5592165;4.219;4771888;4.219;8493298;4.219;9828789;4.219;11365062;4.219;5833005;4.218;8261920;4.219;6478518;4.219;8283465;4.218;7407152;4.218;8571558;4.218;6649589;4.219;9827240;4.219;10043097;4.219;8275577
4.229;7678237;4.229;5610592;4.229;4674811;4.230;8272495;4.229;9828299;4.229;11115992;4.230;5726005;4.229;8195234;4.229;6821055;4.229;8649097;4.229;7222605;4.229;8560402;4.229;6724571;4.229;9640771;4.229;9881698;4.229;7990326
4.240;7498955;4.240;5676100;4.240;4693571;4.240;8269812;4.240;9892490;4.240;11039329;4.240;5697765;4.239;8002300;4.240;7061765;4.240;9007788;4.239;7149219;4.239;8677333;4.239;6707295;4.240;9467165;4.240;9662353;4.240;7889853
4.250;7425899;4.250;5694907;4.250;4660796;4.250;8213959;4.250;9651351;4.250;10950462;4.251;5738805;4.250;8010856;4.250;7300709;4.250;9254827;4.250;7117822;4.250;8675651;4.250;6747047;4.250;9498819;4.250;9679139;4.250;7833868
4.261;7363106;4.261;5672252;4.261;4552893;4.261;8167495;4.261;9475437;4.261;10874737;4.261;5589601;4.260;7798197;4.261;7424719;4.261;9517315;4.260;7134827;4.260;8659182;4.260;6569127;4.260;9399566;4.261;9464047;4.261;7810648
4.271;7532417;4.271;5638346;4.271;4605836;4.271;8139938;4.271;9339963;4.271;10815068;4.272;5695147;4.271;7802160;4.271;7552462;4.271;9703791;4.271;7087592;4.271;8681100;4.271;6705207;4.271;9288014;4.271;9358524;4.271;7847069
4.282;7504740;4.282;5658134;4.281;4590325;4.282;8074532;4.282;9405331;4.282;10659046;4.282;5558959;4.281;7766693;4.282;7790447;4.282;10002708;4.281;7048956;4.281;8863996;4.281;6516481;4.281;9389430;4.282;9396230;4.282;7786108
4.292;7623201;4.292;5735772;4.292;4437553;4.292;8012568;4.292;9304172;4.292;10752821;4.293;5595517;4.292;7785590;4.292;7732338;4.292;10220395;4.292;7000268;4.292;8909783;4.292;6525588;4.292;9330515;4.292;9263360;4.292;7915672
4.303;7679789;4.303;5621828;4.302;4304928;4.303;7928389;4.303;9141700;4.303;10727838;4.303;5496326;4.302;7780890;4.302;7819472;4.303;10269332;4.302;7001637;4.302;8929559;4.302;6528589;4.302;9308678;4.303;9287622;4.303;7904074
4.325;8153918;4.325;5583573;4.324;4300414;4.325;7949923;4.325;9188645;4.325;10944716;4.325;5679932;4.324;7849087;4.324;8032735;4.324;10614386;4.324;7124528;4.324;9246454;4.324;6472807;4.324;9360658;4.324;9485521;4.325;8025410
4.335;8199916;4.335;5633496;4.335;4385322;4.335;7921286;4.335;9158782;4.335;11045217;4.335;5754370;4.335;7941991;4.335;8370929;4.335;10849979;4.335;7322144;4.335;9420223;4.335;6466093;4.335;9524977;4.335;9380045;4.335;8206410
4.346;8552473;4.345;5829616;4.345;4404052;4.346;8000563;4.345;9313312;4.346;11066493;4.346;5733319;4.345;8155314;4.345;8404093;4.345;11181009;4.345;7511157;4.345;9414071;4.345;6551337;4.345;9468992;4.345;9572633;4.346;8281736
4.356;8957981;4.356;5956109;4.356;4458100;4.356;8114231;4.356;9559415;4.356;11278323;4.356;5814731;4.356;8209363;4.356;8555419;4.356;11381980;4.356;7893710;4.356;9716959;4.356;6669355;4.356;9516696;4.356;9725878;4.356;8424177
4.367;9365495;4.366;5979504;4.366;4497176;4.367;8334018;4.366;9660257;4.367;11457574;4.367;5898280;4.366;8426562;4.366;8824178;4.366;11550616;4.366;8522959;4.366;9884655;4.366;6816673;4.366;9549922;4.366;9995638;4.366;8674049
4.377;9836975;4.377;6117855;4.377;4508619;4.377;8534543;4.377;10118031;4.377;11918685;4.377;6050114;4.377;8726235;4.377;9271971;4.377;11997346;4.376;9314323;4.377;10176021;4.376;6978448;4.377;9767857;4.377;10331818;4.377;9091779
4.388;10468742;4.387;6361322;4.387;4570425;4.388;9014236;4.387;10561323;4.387;12382765;4.388;6332694;4.387;8972215;4.387;9708413;4.387;12354357;4.387;10227412;4.387;10567429;4.387;7263607;4.387;10015306;4.387;10576612;4.387;9489393
4.398;10969667;4.398;6592235;4.398;4781875;4.398;9458511;4.398;11008607;4.398;12759718;4.398;6526885;4.398;9512564;4.398;10237622;4.398;12980116;4.397;11048892;4.397;10969687;4.397;7596423;4.398;10248549;4.398;11092997;4.398;10131408
4.409;11530755;4.408;6799836;4.408;5028404;4.409;9820090;4.408;11455788;4.408;13287086;4.409;6888131;4.408;9767595;4.408;10577354;4.408;13414059;4.408;11754036;4.408;11460771;4.408;7916086;4.408;10635716;4.408;11631934;4.408;10707072
4.419;11894498;4.419;7183206;4.419;5166640;4.419;10193501;4.419;11983599;4.419;13774780;4.419;7221631;4.418;10335251;4.419;11203824;4.419;14104945;4.418;12324727;4.418;11770448;4.418;8206928;4.419;11025581;4.419;12023377;4.419;11198217
4.429;12195714;4.429;7461482;4.429;5420424;4.430;10623462;4.429;12314121;4.429;14099386;4.430;7568972;4.429;10725411;4.429;11545743;4.429;14526815;4.429;12787486;4.429;12134799;4.429;8354321;4.429;11631786;4.429;12523398;4.429;11608834
4.440;12352190;4.440;7700217;4.440;5584396;4.440;10802461;4.440;12604418;4.440;14461491;4.440;7941765;4.439;11138343;4.440;11903923;4.440;14862738;4.439;13082967;4.439;12465062;4.439;8534787;4.440;12052806;4.440;12873702;4.440;11987470
4.450;12278134;4.450;7990648;4.450;5717008;4.450;11157292;4.450;12925772;4.450;14760937;4.451;8234787;4.450;11334568;4.450;12184971;4.450;15169694;4.450;13320795;4.450;12788015;4.450;8805566;4.450;12392979;4.450;13238979;4.450;12227512
4.461;11925105;4.461;8271446;4.460;5886547;4.461;11421427;4.461;13246788;4.461;15063347;4.461;8588608;4.460;11706724;4.461;12494351;4.461;15355731;4.460;13452381;4.460;12987088;4.460;8841506;4.460;12762755;4.461;13581302;4.461;12485424
4.471;11726513;4.471;8470740;4.471;6152134;4.471;11561998;4.471;13796422;4.471;15465455;4.472;8955609;4.471;12064228;4.471;12807388;4.471;15785404;4.471;13656231;4.471;13388395;4.471;8826076;4.471;13199271;4.471;14050634;4.471;12841709
4.482;11358510;4.482;8922898;4.481;6355163;4.482;11853662;4.482;14464148;4.482;15987549;4.482;9400323;4.481;12460858;4.482;13532575;4.482;16105231;4.481;13887810;4.481;13917928;4.481;9047899;4.481;13768440;4.482;14519936;4.482;13265284
4.492;11272150;4.492;9451327;4.492;6778130;4.492;12448728;4.492;15314254;4.492;16778030;4.493;10100269;4.492;13007196;4.492;13946486;4.492;16644231;4.492;14205532;4.492;14446723;4.492;9521233;4.492;14373852;4.492;15189140;4.492;14046873
4.503;11207408;4.503;10135591;4.502;7326203;4.503;13134791;4.503;16211698;4.503;17268932;4.503;10869530;4.502;13672256;4.502;14618423;4.503;16923266;4.502;14845937;4.502;15167228;4.502;9980479;4.502;15140654;4.503;16021421;4.503;14828369
4.513;11369305;4.513;11073002;4.513;7885912;4.513;13867187;4.513;17234202;4.513;18118208;4.514;11769307;4.513;14445570;4.513;15554103;4.513;17841936;4.513;15223896;4.513;16128393;4.513;10519177;4.513;16132612;4.513;17024180;4.513;15600268
4.524;11553873;4.524;11883909;4.523;8607109;4.524;14677317;4.524;18027732;4.524;18757800;4.524;12642750;4.523;15394375;4.523;16335425;4.523;18425568;4.523;15749679;4.523;16528547;4.523;10996279;4.523;16938424;4.524;17884424;4.524;16439154
4.534;11809710;4.534;12701544;4.534;9158994;4.534;15197012;4.534;18398280;4.534;19251658;4.534;13469870;4.534;15923763;4.534;16818196;4.534;19013688;4.534;16075969;4.534;17091956;4.534;11397821;4.534;17646866;4.534;18415900;4.534;16812574
4.545;11763487;4.544;13042559;4.544;9349235;4.545;15347817;4.545;18425626;4.545;19233830;4.545;13747577;4.544;16301661;4.544;17014336;4.544;19380872;4.544;16044395;4.544;17140004;4.544;11568699;4.544;17963168;4.544;18714292;4.545;17107330
