"V1","label","hex"
665,"label","#ff633f"
655,"label","#ff633f"
607,"label","#ff633f"
336,"label","#b8c4f6"
156,"label","#b8c4f6"
679,"label","#ff633f"
250,"label","#ff633f"
592,"label","#ff633f"
301,"label","#ff633f"
361,"label","#ff633f"
622,"label","#ff633f"
415,"label","#ff633f"
320,"label","#ff633f"
288,"label","#ff633f"
535,"label","#ff633f"
271,"label","#ff633f"
602,"label","#ff633f"
601,"label","#ff633f"
188,"label","#ff633f"
164,"label","#ff633f"
319,"label","#ff633f"
178,"label","#ff633f"
348,"label","#ff633f"
236,"label","#ff633f"
196,"label","#ff633f"
310,"label","#ff633f"
180,"label","#ff633f"
187,"label","#ff633f"
671,"label","#ff633f"
260,"label","#ff633f"
605,"label","#ff633f"
452,"label","#ff633f"
274,"label","#ff633f"
306,"label","#ff633f"
632,"label","#ff633f"
481,"label","#ff633f"
591,"label","#ff633f"
344,"label","#ff633f"
431,"label","#ff633f"
326,"label","#ff633f"
434,"label","#ff633f"
606,"label","#ff633f"
608,"label","#ff633f"
388,"label","#ff633f"
461,"label","#ff633f"
172,"label","#ff633f"
664,"label","#019c51"
647,"label","#ff633f"
462,"label","#ff633f"
603,"label","#b8c4f6"
658,"label","#b8c4f6"
284,"label","#b8c4f6"
400,"label","#b8c4f6"
335,"label","#019c51"
223,"label","#019c51"
637,"label","#01559d"
515,"label","#01559d"
297,"label","#01559d"
182,"label","#01559d"
233,"label","#01559d"
614,"label","#019c51"
329,"label","#019c51"
441,"label","#019c51"
617,"label","#019c51"
384,"label","#019c51"
280,"label","#019c51"
199,"label","#019c51"
255,"label","#019c51"
363,"label","#019c51"
475,"label","#019c51"
213,"label","#019c51"
161,"label","#019c51"
242,"label","#019c51"
339,"label","#019c51"
358,"label","#019c51"
184,"label","#019c51"
656,"label","#019c51"
296,"label","#019c51"
366,"label","#019c51"
543,"label","#019c51"
641,"label","#019c51"
619,"label","#019c51"
278,"label","#019c51"
660,"label","#019c51"
404,"label","#019c51"
670,"label","#019c51"
201,"label","#019c51"
268,"label","#019c51"
438,"label","#019c51"
204,"label","#ff633f"
174,"label","#010b92"
294,"label","#010b92"
177,"label","#010b92"
149,"label","#010b92"
537,"label","#000000"
307,"label","#000000"
295,"label","#01559d"
286,"label","#01559d"
262,"label","#01559d"
624,"label","#01559d"
621,"label","#01559d"
340,"label","#01559d"
627,"label","#01559d"
347,"label","#01559d"
528,"label","#01559d"
331,"label","#01559d"
387,"label","#01559d"
594,"label","#01559d"
330,"label","#01559d"
558,"label","#01559d"
686,"label","#01559d"
687,"label","#01559d"
532,"label","#01559d"
518,"label","#01559d"
168,"label","#01559d"
420,"label","#01559d"
151,"label","#01559d"
136,"label","#01559d"
646,"label","#01559d"
287,"label","#01559d"
181,"label","#01559d"
175,"label","#01559d"
688,"label","#ffaaaf"
176,"label","#ffaaaf"
152,"label","#49ca00"
148,"label","#49ca00"
613,"label","#ff633f"
610,"label","#ff633f"
