"XOTU","barettin_estimate_P","barettin_p_val_P","barettin_estimate_S","barettin_p_val_S","barettin_fdr_P","barettin_fdr_S"
"X1969004",0.647029756517952,0.0431624924306155,0.733333333333333,0.0211664810722656,0.133017842880607,0.166815314012081
"X196900135",0.017316346998323,0.962131847291057,-0.357575757575757,0.312800267381167,0.969532861500989,0.508756403989106
"X196900136",0.423950507074541,0.222086094732214,0.333333333333333,0.348846243872153,0.360660476156034,0.53553349156936
"X196900143",-0.302793718030842,0.395098950007891,-0.236363636363636,0.513898326223936,0.542596778650463,0.660006673875839
"X196900145",0.0743432022503707,0.838270086577312,0.0666666666666667,0.864753528804526,0.878106439240295,0.920331079629809
"X196900148",-0.88129872742665,0.000750855764458546,-0.503030303030303,0.14336680194002,0.0105387969797217,0.329492123756887
"X196900154",0.481466348514667,0.158853467200732,0.490909090909091,0.154442672733181,0.300837572287249,0.341805948347337
"X196900157",0.188461838230249,0.602072927728993,0.151515151515151,0.681807643477163,0.728045109530751,0.788089423195662
"X196900160",-0.277200938384874,0.438108289791926,0.00606060606060606,1,0.58364934877365,1
"X196900162",0.683098699873675,0.0294597104330838,0.866666666666667,0.00268141517103888,0.09980746724312,0.0796833018443491
"X196900164",-0.686555736347543,0.0283273871509445,-0.357575757575757,0.312800267381167,0.09980746724312,0.508756403989106
"X196900168",0.245250659939744,0.494634817673201,0.333333333333333,0.348846243872153,0.625053001111151,0.53553349156936
"X196900171",0.59223155783102,0.0712405851582959,0.587878787878788,0.0802150639781516,0.187903019914163,0.284004685976699
"X196900178",-0.578018065827432,0.0800841574694958,-0.127272727272727,0.732886836413125,0.205706365264783,0.829729598525382
"X196900179",0.845747083638185,0.00204725012473924,0.587878787878788,0.0802150639781516,0.0211728762900663,0.284004685976699
"X196900199",-0.72882157638354,0.0167963270758114,-0.648484848484848,0.0490426316833764,0.0733439615643763,0.240921928144587
"X196900215",0.607068968573079,0.0627145632468481,0.612121212121212,0.0664691374895167,0.17255110839725,0.272108031597709
"X196900224",0.0294776700425332,0.935573598465831,0.284848484848485,0.427359698875701,0.952539959059771,0.575179320747091
"X196900235",0.68329956619785,0.029393087953109,0.551515151515151,0.10429776397167,0.09980746724312,0.313387355414331
"X196900250",0.502188964484566,0.139102031416726,0.236363636363636,0.513898326223936,0.296531419676292,0.660006673875839
"X196900138",-0.749194392098177,0.0126260597504,-0.515151515151515,0.132823060175966,0.063919261454048,0.314454594272015
"X196900155",0.370356366914284,0.292122714544047,0.515151515151515,0.132823060175966,0.446709053758017,0.314454594272015
"X196900156",-0.755887092637636,0.0114317628699848,-0.684848484848485,0.0350915379341638,0.0632772226465356,0.191541311223977
"X196900176",0.70293524880311,0.0233648640262949,0.76969696969697,0.0136717821032753,0.0900234466895479,0.128304065892173
"X196900185",0.782852862502522,0.00741485172771309,0.83030303030303,0.00555680454585398,0.052982485981659,0.0796833018443491
"X196900189",0.458049991062037,0.183099301766921,0.333333333333333,0.348846243872153,0.311506604304762,0.53553349156936
"X196900198",0.374535083682906,0.286282488890492,0.248484848484848,0.491555497342584,0.441211835819464,0.642373411430507
"X196900214",0.346727695793897,0.326327171346496,0.139393939393939,0.707203785571239,0.475963926878283,0.809333596229457
"X196900219",-0.0180422930157124,0.960545329155973,0.139393939393939,0.707203785571239,0.969532861500989,0.809333596229457
"X196900221",0.421919161601363,0.224546243630847,0.212121212121212,0.559908079271241,0.363155035995567,0.707536576056584
"X196900239",0.465687142398321,0.17496593782553,0.224242424242424,0.536688086753551,0.300837572287249,0.682583877327332
"X196900274",0.121982934955213,0.73709750801352,0.175757575757576,0.631967363906089,0.79364197438168,0.741382609000277
"X196900330",0.293013602465061,0.411287300169592,0.0303030303030303,0.94570980835199,0.555449858991923,0.972942289744325
"X196900337",-0.897644760434951,0.000423693776507632,-0.490909090909091,0.154442672733181,0.00751469281255071,0.341805948347337
"X196900141",-0.67088681669256,0.0337062219568274,-0.587878787878788,0.0802150639781515,0.112258857873163,0.284004685976699
"X196900150",-0.476518413521609,0.163805719231168,-0.0790277206784084,0.828202479859412,0.300837572287249,0.904121040513191
"X196900151",0.425533240504716,0.220179964145609,0.381818181818182,0.278965216116318,0.359048655224997,0.466524808228565
"X196900153",0.0525025574946644,0.885466716569569,0.224242424242424,0.536688086753551,0.910964449245656,0.682583877327332
"X196900159",0.487405072963684,0.153030088479079,0.696969696969697,0.0311410954595681,0.298435749092004,0.185431068418338
"X196900269",-0.830077381384755,0.00295504395723108,-0.527272727272727,0.12280318761783,0.0272864634153217,0.313387355414331
"X196900288",-0.602623642085677,0.0651945800861199,-0.503030303030303,0.14336680194002,0.17669979292307,0.329492123756887
"X196900139",0.516408601388108,0.126465568623973,0.674775153484872,0.0323118085420257,0.279218923984389,0.189530459059942
