Sf1_RT;Sf1;Sf10_RT;Sf10;Sf11_RT;Sf11;Sf12_RT;Sf12;Sf13_RT;Sf13;Sf14_RT;Sf14;Sf15_RT;Sf15;Sf2_RT;Sf2;Sf3_RT;Sf3;Sf4_RT;Sf4;Sf5_RT;Sf5;Sf6_RT;Sf6;Sf7_RT;Sf7
3.998;5773855;3.998;5425709;3.998;5898452;3.998;6132979;3.998;5924757;3.998;5706478;3.998;6838182;3.998;5874269;3.998;7299562;3.998;6661525;3.998;6115212;3.998;5063308;3.998;6769307
4.008;5817832;4.008;5449765;4.008;5828507;4.008;6025390;4.008;5942447;4.008;5690017;4.008;6779819;4.009;5856016;4.009;7166606;4.008;6635041;4.008;5978180;4.008;4979706;4.009;6670173
4.019;5836699;4.019;5297698;4.018;5818305;4.019;5980974;4.019;5918372;4.019;5657087;4.019;6768140;4.019;5779005;4.019;7110394;4.019;6510879;4.019;5953059;4.019;4949442;4.019;6588433
4.029;5750255;4.029;5278817;4.029;5636327;4.029;5963693;4.029;5908893;4.029;5666740;4.029;6881383;4.030;5759146;4.030;7025947;4.029;6429795;4.029;5839339;4.029;4838667;4.030;6549047
4.040;5792944;4.040;5173206;4.039;5659106;4.040;5864639;4.040;5913540;4.040;5496642;4.039;6768223;4.040;5704878;4.040;6818507;4.040;6306160;4.040;5777660;4.040;4733039;4.040;6341968
4.050;5753004;4.050;5031557;4.050;5619596;4.050;5769376;4.050;5808442;4.050;5318724;4.050;6742390;4.051;5553108;4.051;6706436;4.050;6267690;4.050;5720647;4.050;4700228;4.051;6317553
4.072;5638392;4.072;4794061;4.072;5410801;4.072;5626117;4.072;5762628;4.072;5004530;4.072;6657961;4.072;5387007;4.072;6708007;4.072;6099539;4.072;5534901;4.072;4462495;4.073;5951412
4.083;5628998;4.083;4784447;4.082;5348408;4.082;5497112;4.083;5694002;4.082;4966725;4.082;6623531;4.083;5392883;4.083;6496214;4.083;6046989;4.082;5411975;4.083;4483631;4.083;5894428
4.093;5535421;4.093;4731299;4.093;5333206;4.093;5437846;4.093;5565346;4.093;4833000;4.093;6379520;4.093;5310181;4.093;6444168;4.093;5959485;4.093;5405008;4.093;4371715;4.094;5806547
4.104;5433030;4.104;4709900;4.103;5303482;4.103;5309386;4.104;5453120;4.103;4729179;4.103;6164937;4.104;5204132;4.104;6224402;4.104;5988131;4.103;5270794;4.104;4358723;4.104;5667718
4.114;5410838;4.114;4584802;4.114;5315442;4.114;5150037;4.114;5259522;4.114;4692893;4.114;6052099;4.114;5204540;4.114;6072046;4.114;5983648;4.114;5118400;4.114;4408727;4.115;5558819
4.125;5403481;4.125;4664702;4.124;5325813;4.124;5107464;4.125;5139608;4.124;4746609;4.124;5962544;4.125;5238165;4.125;5891213;4.125;5936004;4.124;5169310;4.125;4510805;4.125;5348231
4.135;5429771;4.135;4754859;4.135;5384468;4.135;5121478;4.135;5118275;4.135;4758534;4.135;5882824;4.135;5262461;4.135;5738495;4.135;6013276;4.135;5059192;4.135;4604775;4.135;5287464
4.146;5470525;4.146;4772258;4.145;5409363;4.145;5124314;4.146;5064185;4.145;4756932;4.145;5910015;4.146;5273633;4.146;5691838;4.146;5987692;4.145;5070945;4.146;4706427;4.146;5250148
4.156;5471246;4.156;4863606;4.156;5496729;4.156;5169261;4.156;5036879;4.156;4834050;4.156;5917670;4.156;5295534;4.156;5647804;4.156;6090658;4.156;5068664;4.156;4723841;4.156;5228813
4.166;5558316;4.167;4854188;4.166;5463144;4.166;5192302;4.167;5016175;4.166;4821988;4.166;5920181;4.167;5254613;4.167;5541841;4.167;6171281;4.166;5062370;4.166;4791414;4.167;5242390
4.177;5500359;4.177;4827974;4.177;5459492;4.177;5240011;4.177;5033919;4.177;4874449;4.177;5939147;4.177;5207171;4.177;5428706;4.177;6212231;4.177;5088255;4.177;4839115;4.177;5238963
4.187;5556898;4.188;4912187;4.187;5514245;4.187;5249691;4.187;4977435;4.187;4840416;4.187;5942949;4.188;5256963;4.188;5470844;4.188;6269455;4.187;5065310;4.187;4848175;4.188;5173761
4.198;5571608;4.198;4888166;4.198;5551520;4.198;5251979;4.198;5034213;4.198;4870008;4.198;5917183;4.198;5263953;4.198;5428164;4.198;6238868;4.198;5028638;4.198;4847525;4.198;5137591
4.208;5616347;4.209;4893972;4.208;5481872;4.208;5270134;4.208;5025724;4.208;4864107;4.208;5942567;4.209;5349566;4.209;5451202;4.209;6203914;4.208;5003358;4.208;4914980;4.209;5102264
4.219;5610414;4.219;4880902;4.218;5486470;4.219;5258233;4.219;5048269;4.219;4870945;4.219;5894840;4.219;5285247;4.219;5374462;4.219;6189617;4.219;5003719;4.219;4957710;4.219;5104831
4.229;5591685;4.230;4927849;4.229;5506057;4.229;5226421;4.229;5042039;4.229;4903320;4.229;5891676;4.230;5270870;4.230;5403762;4.230;6198354;4.229;5016553;4.229;4903759;4.230;5085377
4.240;5552220;4.240;4903587;4.239;5455729;4.240;5265612;4.240;5049201;4.240;4885191;4.239;5890255;4.240;5209073;4.240;5392127;4.240;6175714;4.240;4984261;4.240;4867163;4.240;5049783
4.250;5624430;4.250;4831672;4.250;5412939;4.250;5223538;4.250;5035673;4.250;4835560;4.250;5850989;4.251;5218289;4.251;5402998;4.251;6159841;4.250;4965168;4.250;4897561;4.251;5014176
4.261;5556140;4.261;4802707;4.260;5461555;4.260;5107163;4.261;5051356;4.260;4882570;4.260;5949376;4.261;5191036;4.261;5412285;4.261;6164070;4.261;4900741;4.261;4883584;4.261;5000739
4.271;5480808;4.271;4773841;4.271;5354257;4.271;5070800;4.271;5065216;4.271;4879088;4.271;5897215;4.272;5155365;4.272;5393526;4.271;6036908;4.271;4900005;4.271;4763632;4.272;4971474
4.282;5458422;4.282;4709965;4.281;5357638;4.281;5065713;4.282;5010102;4.281;4856492;4.281;5829334;4.282;5148080;4.282;5374174;4.282;5992499;4.281;4809070;4.282;4684808;4.282;4932240
4.292;5473549;4.293;4648216;4.292;5333009;4.292;4998155;4.292;5055431;4.292;4892620;4.292;5843490;4.292;5254887;4.293;5470199;4.292;5942980;4.292;4701112;4.292;4626282;4.293;4929609
4.303;5437296;4.303;4590017;4.302;5309302;4.302;4933861;4.303;5122470;4.302;4892500;4.302;5946503;4.303;5461550;4.303;5513895;4.303;5858088;4.302;4634567;4.303;4605291;4.303;4907198
4.325;5481100;4.325;4569056;4.324;5265674;4.324;4776510;4.325;5253684;4.324;5160369;4.324;6373873;4.325;6867741;4.325;5654583;4.325;5865312;4.324;4484918;4.325;4525335;4.325;4945805
4.335;5663538;4.335;4621092;4.335;5495652;4.335;4824885;4.335;5459623;4.335;5240431;4.335;6622154;4.335;8058149;4.335;5862654;4.335;5977338;4.335;4387844;4.335;4580001;4.335;5001689
4.346;5969377;4.346;4844994;4.345;5689137;4.345;4862347;4.346;5672963;4.345;5402983;4.345;7027560;4.346;9519414;4.346;5914401;4.346;6262110;4.345;4393640;4.345;4652001;4.346;5066441
4.356;6254880;4.356;5005698;4.356;5969692;4.356;5011881;4.356;5997112;4.356;5680052;4.356;7309213;4.356;10782225;4.356;6226843;4.356;6713064;4.356;4374294;4.356;4770393;4.356;5220203
4.366;6677597;4.367;5365296;4.366;6294806;4.366;5155800;4.367;6346433;4.366;5922511;4.366;7844237;4.367;11664061;4.367;6505538;4.367;7118631;4.366;4355802;4.366;5007484;4.367;5480167
4.377;7150477;4.377;5641444;4.377;6573416;4.377;5454958;4.377;6717183;4.377;6173000;4.377;8273606;4.377;12430652;4.377;6858191;4.377;7548551;4.377;4420276;4.377;5203381;4.377;5770052
4.387;7642932;4.388;5915240;4.387;6836161;4.387;5675717;4.387;6956795;4.387;6354580;4.387;8573761;4.388;12809965;4.388;7270931;4.388;8125260;4.387;4511860;4.387;5526444;4.388;6049401
4.398;8143531;4.398;6205941;4.397;7009804;4.398;6001772;4.398;7190430;4.398;6523589;4.398;8892301;4.398;13149603;4.398;7656416;4.398;8486008;4.398;4597107;4.398;5650756;4.398;6461210
4.408;8648452;4.409;6467429;4.408;7270709;4.408;6310908;4.408;7525440;4.408;6767633;4.408;9243414;4.409;13303981;4.409;8065155;4.409;8833156;4.408;4798674;4.408;5934102;4.409;6778676
4.419;8852248;4.419;6638072;4.418;7230918;4.419;6451473;4.419;7592734;4.419;6868389;4.418;9586097;4.419;13482297;4.419;8346378;4.419;9103285;4.419;4748172;4.419;6163673;4.419;7206508
4.429;9091232;4.430;6658851;4.429;7303154;4.429;6599577;4.429;7694324;4.429;6927650;4.429;9778437;4.430;13535386;4.430;8520829;4.430;9106802;4.429;4868736;4.429;6279425;4.430;7437772
4.440;9223382;4.440;6708773;4.439;7292409;4.439;6622913;4.440;7709631;4.440;7064542;4.439;9768025;4.440;13470460;4.440;8615425;4.440;9004300;4.440;4819151;4.440;6368356;4.440;7519555
4.450;9271887;4.451;6696079;4.450;7154191;4.450;6532928;4.450;7705650;4.450;7006628;4.450;9759168;4.451;13387097;4.451;8525080;4.451;8902335;4.450;4816462;4.450;6433985;4.451;7700743
4.461;9104314;4.461;6607054;4.460;7105124;4.460;6434314;4.461;7687916;4.461;6981108;4.460;9661244;4.461;13183538;4.461;8429057;4.461;8619763;4.461;4778448;4.461;6456431;4.461;7677553
4.471;8849463;4.472;6505237;4.471;6919619;4.471;6354728;4.471;7595655;4.471;6843237;4.471;9454386;4.471;13029806;4.472;8184141;4.471;8444181;4.471;4678633;4.471;6399027;4.472;7608409
4.482;8620417;4.482;6337478;4.481;6751397;4.481;6128775;4.482;7662622;4.482;6635959;4.481;9367594;4.482;12706006;4.482;7937454;4.482;8124760;4.481;4633765;4.482;6204336;4.482;7450333
4.492;8360117;4.493;6198473;4.492;6531258;4.492;6041285;4.492;7535908;4.492;6655931;4.492;9250846;4.492;12379074;4.492;7615938;4.492;7767962;4.492;4519238;4.492;6072469;4.493;7332538
4.503;8082542;4.503;6077643;4.502;6363626;4.502;5734821;4.503;7482744;4.503;6502331;4.502;9093215;4.503;12042175;4.503;7250644;4.503;7414127;4.502;4511966;4.503;5912073;4.503;7084922
4.513;7640595;4.514;6020429;4.513;6241896;4.513;5618862;4.513;7578659;4.513;6338045;4.513;9194348;4.513;11428745;4.513;6865530;4.513;7169120;4.513;4432034;4.513;5903311;4.514;6875911
4.524;7363938;4.524;5858786;4.523;6240364;4.523;5469585;4.524;7615793;4.524;6194026;4.523;9176931;4.524;10889760;4.524;6569723;4.524;6927450;4.523;4396956;4.524;5754020;4.524;6784815
4.534;7140328;4.534;5940183;4.534;6007268;4.534;5325485;4.534;7747211;4.534;6068456;4.534;9321134;4.534;10334710;4.534;6307856;4.534;6678807;4.534;4402758;4.534;5614981;4.534;6678231
4.545;6904586;4.545;5822298;4.544;5956654;4.544;5321614;4.545;7739089;4.545;6004605;4.544;9410339;4.545;9669811;4.545;6014159;4.545;6441890;4.544;4397252;4.544;5483940;4.545;6727545
4.555;6492631;4.555;5717529;4.555;5603418;4.555;5130882;4.555;7742983;4.555;5812108;4.555;9265222;4.555;8905046;4.555;5792213;4.555;6118665;4.555;4256955;4.555;5340398;4.555;6537961
4.577;5924833;4.577;5177345;4.577;5213059;4.577;4691265;4.577;7382148;4.577;5347778;4.577;9047523;4.577;7474207;4.577;5290536;4.577;5410381;4.577;3903243;4.577;4886717;4.577;6228852
4.587;5680973;4.588;4947768;4.587;5012365;4.587;4472329;4.587;7052603;4.587;5037160;4.587;8749607;4.588;6770245;4.588;4864451;4.588;5054148;4.587;3845498;4.587;4518940;4.588;5965939
4.598;5417493;4.598;4591238;4.597;4868672;4.598;4221771;4.598;6773496;4.598;4826089;4.598;8344566;4.598;6326659;4.598;4600361;4.598;4746910;4.598;3652982;4.598;4342708;4.598;5688251
4.608;5204477;4.609;4437223;4.608;4699982;4.608;4058529;4.608;6458410;4.608;4697947;4.608;8122515;4.609;6016441;4.609;4400816;4.609;4526321;4.608;3538649;4.608;4054100;4.609;5505410
4.619;5005366;4.619;4272747;4.618;4515047;4.619;3926488;4.619;6205341;4.619;4390234;4.619;7951899;4.619;5727542;4.619;4134936;4.619;4366912;4.619;3413319;4.619;3825154;4.619;5278611
4.629;4896215;4.630;4111681;4.629;4503110;4.629;3872502;4.629;6125831;4.629;4285963;4.629;7698364;4.630;5510211;4.630;3996329;4.630;4182170;4.629;3323054;4.629;3714221;4.630;5059006
4.640;4757209;4.640;3839473;4.639;4567373;4.639;3792859;4.640;5879474;4.640;4212066;4.640;7668905;4.640;5421513;4.640;3840871;4.640;4011111;4.640;3375202;4.640;3573104;4.640;4971618
4.650;4762275;4.651;3830440;4.650;4600640;4.650;3780037;4.650;5860257;4.650;4132634;4.650;7619872;4.651;5353505;4.651;3764047;4.650;3977836;4.650;3486551;4.650;3508238;4.651;4926795
4.661;4769096;4.661;3796949;4.660;4609490;4.660;3892342;4.661;5814345;4.661;4163026;4.661;7529637;4.661;5367757;4.661;3779961;4.661;3905855;4.661;3516862;4.661;3453637;4.661;4810163
4.671;4743768;4.672;3829926;4.671;4661045;4.671;3941157;4.671;5885631;4.671;4169651;4.671;7742857;4.671;5378429;4.672;3795621;4.671;4002394;4.671;3436055;4.671;3490656;4.672;4886251
4.682;4940005;4.682;3872538;4.681;4802013;4.681;4032196;4.682;5939926;4.682;4313681;4.681;7778998;4.682;5486136;4.682;3927352;4.682;4085982;4.681;3520104;4.682;3623237;4.682;4902428
4.692;5007617;4.693;3941414;4.692;4802467;4.692;4066107;4.692;6026575;4.692;4223281;4.692;7970680;4.692;5506432;4.692;3999164;4.692;4182355;4.692;3611755;4.692;3618786;4.693;4919784
4.703;5072272;4.703;3972459;4.702;4903846;4.702;4160009;4.703;5955204;4.703;4314246;4.703;8109955;4.703;5565534;4.703;4104017;4.703;4223162;4.702;3745189;4.703;3718614;4.703;5015329
4.713;5330351;4.713;4081183;4.713;4957982;4.713;4227159;4.713;6153522;4.713;4353138;4.713;8224176;4.713;5716813;4.713;4225499;4.713;4419960;4.713;3738219;4.713;3637185;4.714;5113409
4.724;5573503;4.724;4243382;4.723;4898123;4.723;4412994;4.724;6342609;4.724;4491045;4.724;8344583;4.724;5813232;4.724;4262036;4.724;4407778;4.723;3890864;4.724;3704407;4.724;5161663
4.734;5700567;4.734;4198299;4.734;4736838;4.734;4444245;4.734;6431261;4.734;4585090;4.734;8412766;4.734;5765595;4.734;4421074;4.734;4443868;4.734;3942164;4.734;3663821;4.734;5149222
4.745;5843071;4.745;4194975;4.744;4672699;4.744;4392783;4.745;6420255;4.745;4506228;4.745;8228685;4.745;5694605;4.745;4650561;4.745;4404780;4.744;3854952;4.744;3622612;4.745;5016241
4.755;5926831;4.755;4056817;4.755;4398567;4.755;4307366;4.755;6338283;4.755;4506990;4.755;7997026;4.755;5698387;4.755;4637661;4.755;4256825;4.755;3747414;4.755;3475644;4.755;4787403
4.765;5884716;4.766;3931710;4.765;4239509;4.765;4126475;4.766;6261368;4.766;4267161;4.766;7612212;4.766;5482419;4.766;4618986;4.766;4139676;4.765;3548233;4.765;3349444;4.766;4572782
4.776;5917315;4.776;3703460;4.776;3971927;4.776;3919354;4.776;6141075;4.776;3974681;4.776;7352259;4.776;5373799;4.776;4553014;4.776;3855471;4.776;3436890;4.776;3300265;4.776;4263452
4.786;5658042;4.787;3591205;4.786;3888660;4.786;3739580;4.786;5974750;4.787;3885005;4.786;6834695;4.787;5320559;4.787;4447031;4.787;3627011;4.786;3234832;4.786;3153177;4.787;4038604
4.797;5471467;4.797;3446166;4.796;3767600;4.797;3584773;4.797;5898117;4.797;3818758;4.797;6524363;4.797;5280241;4.797;4271286;4.797;3497407;4.797;3250753;4.797;3045380;4.797;3823222
4.807;5219139;4.808;3431607;4.807;3778742;4.807;3470638;4.807;5745265;4.807;3553663;4.807;6258325;4.808;5300931;4.808;4131155;4.808;3419163;4.807;3038062;4.807;2963169;4.808;3660698
4.829;4966552;4.830;3354651;4.829;3910081;4.829;3474148;4.829;5842898;4.829;3484834;4.829;6176267;4.830;5571602;4.830;3921448;4.830;3475598;4.829;3168997;4.829;3030943;4.830;3531166
4.840;4958511;4.840;3461095;4.839;4051669;4.839;3512798;4.840;5958994;4.840;3468264;4.840;6171241;4.840;5721192;4.840;3842847;4.840;3631573;4.840;3163637;4.840;3060936;4.840;3485587
4.850;4891307;4.851;3598308;4.850;4184661;4.850;3638607;4.850;6015038;4.850;3471487;4.850;6224942;4.851;5859648;4.851;3784839;4.850;3651423;4.850;3265837;4.850;3148780;4.851;3569168
4.861;4898087;4.861;3758983;4.860;4386279;4.860;3747156;4.861;6046866;4.861;3652871;4.861;6339337;4.861;6149542;4.861;3865383;4.861;3841100;4.860;3451809;4.861;3323704;4.861;3701716
4.871;4967030;4.872;3914806;4.871;4504140;4.871;3871375;4.871;6124217;4.871;3707860;4.871;6508151;4.871;6296815;4.872;3971694;4.871;3919519;4.871;3580784;4.871;3439064;4.872;3891016
4.882;5155438;4.882;4113766;4.881;4891528;4.881;4048857;4.882;6038612;4.882;3830856;4.882;6636600;4.882;6621725;4.882;4052228;4.882;4080586;4.881;3779415;4.882;3606971;4.882;4044679
4.892;5254893;4.893;4200847;4.892;4937661;4.892;4153566;4.892;5997712;4.892;3972495;4.892;6784192;4.892;6741958;4.892;4185045;4.892;4236033;4.892;3894038;4.892;3851341;4.893;4144153
4.903;5381250;4.903;4404813;4.902;5231612;4.902;4325222;4.903;6029838;4.903;4179050;4.903;6933273;4.903;6849631;4.903;4279013;4.903;4346768;4.902;4051143;4.903;4061660;4.903;4392027
4.913;5539770;4.913;4642890;4.913;5332677;4.913;4386312;4.913;6132713;4.913;4448146;4.913;7015221;4.913;6906673;4.913;4395273;4.913;4461827;4.913;4140836;4.913;4322148;4.913;4470772
4.924;5742432;4.924;4764087;4.923;5396131;4.923;4562377;4.924;6102854;4.924;4605661;4.924;7049187;4.924;6993437;4.924;4472332;4.924;4584127;4.923;4242534;4.924;4439266;4.924;4601545
4.934;5944511;4.934;4787033;4.934;5418582;4.934;4605184;4.934;6045541;4.934;4661406;4.934;7134444;4.934;7017251;4.934;4491916;4.934;4827802;4.934;4340904;4.934;4565820;4.934;4726920
4.944;6130948;4.945;4922365;4.944;5506917;4.944;4726481;4.945;5876081;4.945;4751308;4.945;7226409;4.945;6922431;4.945;4487073;4.945;4977658;4.944;4370296;4.944;4689820;4.945;4755758
4.955;6010806;4.955;5090147;4.955;5512536;4.955;4837970;4.955;5829658;4.955;4796701;4.955;7204353;4.955;6996459;4.955;4616950;4.955;5002657;4.955;4263554;4.955;4817745;4.955;4871440
4.965;6077801;4.966;5080518;4.965;5738744;4.965;4784301;4.965;5866068;4.966;4946692;4.966;7124874;4.966;6990119;4.966;4708662;4.966;5108933;4.965;4186858;4.965;4982511;4.966;4998569
4.976;5920647;4.976;5215860;4.976;5753865;4.976;4834278;4.976;5888299;4.976;4956389;4.976;7141114;4.976;6998625;4.976;4712735;4.976;5127318;4.976;4024475;4.976;5036366;4.976;5123060
4.986;5908896;4.987;5266145;4.986;6228591;4.986;4784275;4.986;5940264;4.986;4913658;4.986;7295357;4.987;6998560;4.987;4806055;4.987;5074652;4.986;3982678;4.986;5224671;4.987;5167659
4.997;5803613;4.997;5461866;4.996;6602733;4.997;4814678;4.997;5746139;4.997;4704685;4.997;7554747;4.997;7256907;4.997;4813601;4.997;5191014;4.997;3989062;4.997;5398479;4.997;5406292
5.007;5811699;5.008;5836721;5.007;7102879;5.007;4982210;5.007;5877191;5.007;4707334;5.007;8200138;5.008;7592275;5.008;4891410;5.008;5343864;5.007;4180937;5.007;5676489;5.008;5754532
5.018;5951980;5.018;6360135;5.017;7642269;5.018;5296640;5.018;5943976;5.018;4699633;5.018;9099782;5.018;7995709;5.018;5104422;5.018;5687142;5.018;4537110;5.018;6210068;5.018;6394354
5.028;5994394;5.029;7053103;5.028;8066006;5.028;5717995;5.028;6129627;5.028;4719535;5.028;10188531;5.029;8483539;5.029;5578748;5.029;6218745;5.028;4918295;5.028;6699955;5.029;6980144
5.039;6341280;5.039;7787779;5.038;8479203;5.039;6260692;5.039;6364793;5.039;4922779;5.039;11432969;5.039;8913259;5.039;6083495;5.039;6734594;5.039;5315767;5.039;7282201;5.039;7582932
5.049;6881125;5.050;8514435;5.049;8678405;5.049;6828154;5.049;6824265;5.049;5300970;5.049;12809674;5.050;8966317;5.050;6765168;5.049;7381485;5.049;5776556;5.049;7833583;5.050;7981408
5.060;7591605;5.060;9031753;5.059;8760035;5.060;7308561;5.060;7572967;5.060;5688000;5.060;13652425;5.060;9396198;5.060;7548685;5.060;7975591;5.060;6259244;5.060;8285443;5.060;8452508
5.082;9168352;5.082;9900689;5.081;9171325;5.082;8482033;5.082;9666985;5.082;6128189;5.082;14769880;5.082;9795382;5.082;8987942;5.082;8872437;5.081;7437401;5.082;8684304;5.082;9145730
5.092;9691109;5.093;10038195;5.092;9212290;5.092;8839542;5.092;10422321;5.092;6456022;5.092;15089269;5.092;9670249;5.092;9460912;5.092;9133575;5.092;7815648;5.092;8733816;5.093;9433834
5.103;9922506;5.103;10092242;5.102;9250791;5.103;9282437;5.103;11028959;5.103;6641489;5.103;15538120;5.103;9793297;5.103;10158619;5.103;9363084;5.102;8218650;5.103;8886954;5.103;9489514
5.113;10181492;5.113;10140599;5.113;9066524;5.113;9655960;5.113;11452152;5.113;6805420;5.113;15761572;5.113;9777082;5.113;10666664;5.113;9481767;5.113;8685593;5.113;8959544;5.113;9613323
5.124;10439788;5.124;10093194;5.123;9077165;5.124;9917687;5.124;12036755;5.124;6802530;5.124;15892943;5.124;9764050;5.124;10836291;5.124;9747705;5.123;9024914;5.124;8912336;5.124;9687231
5.134;10670291;5.134;10278154;5.134;8983720;5.134;10302094;5.134;12522646;5.134;6997375;5.134;15777382;5.134;9828121;5.134;11255269;5.134;9848477;5.134;9494227;5.134;8873311;5.134;9614161
5.144;10779390;5.145;10316066;5.144;9219898;5.145;10421995;5.145;12441207;5.145;7176027;5.145;15939049;5.145;9916975;5.145;11820900;5.145;9717941;5.144;9742350;5.144;8975209;5.145;9671266
5.155;10906872;5.155;10155974;5.155;9053598;5.155;10874207;5.155;12410895;5.155;7579008;5.155;15982157;5.155;9915949;5.155;12070202;5.155;9755044;5.155;9854975;5.155;8951521;5.155;9689060
5.165;10725519;5.166;10171553;5.165;9018919;5.166;10937258;5.165;12677020;5.166;7513947;5.166;16106987;5.166;10248473;5.166;12678768;5.166;9716933;5.165;10148746;5.165;8912875;5.166;9685482
5.176;10936019;5.176;10167109;5.175;9014907;5.176;11090278;5.176;12720529;5.176;7875218;5.176;15960210;5.176;10319476;5.176;12849344;5.176;9693605;5.176;10371404;5.176;8920935;5.176;9664286
5.186;11120522;5.187;10064684;5.186;9242673;5.187;11361756;5.186;12793009;5.186;8076063;5.186;15912315;5.187;10567432;5.187;13273366;5.187;9672918;5.186;10544887;5.186;9111332;5.187;9614202
5.197;11400522;5.197;9944370;5.196;9435900;5.197;11476635;5.197;12833317;5.197;8206571;5.197;16187586;5.197;10617371;5.197;13560719;5.197;9633634;5.197;10718421;5.197;9121782;5.197;9631387
5.207;11669275;5.208;9937928;5.207;9576819;5.207;11634242;5.207;12663043;5.207;8296510;5.207;16077046;5.208;10771336;5.208;13792638;5.208;9701964;5.207;10914330;5.207;9297615;5.208;9792959
5.218;11675953;5.218;10139015;5.217;9709456;5.218;11602978;5.218;12683824;5.218;8341456;5.218;16015449;5.218;10796071;5.218;13857758;5.218;9716693;5.218;11114902;5.218;9352206;5.218;9662097
5.228;11885617;5.229;10161557;5.228;9800950;5.228;11614753;5.228;12491640;5.228;8286702;5.228;16038386;5.229;10699990;5.229;14046757;5.229;9815908;5.228;11232397;5.228;9492173;5.229;9740321
5.239;11901438;5.239;10225696;5.238;10074712;5.239;11758988;5.239;12451826;5.239;8345783;5.239;15898877;5.239;10558442;5.239;13990275;5.239;9748563;5.239;11433847;5.239;9561074;5.239;9794928
5.249;12045462;5.250;10359732;5.249;9937414;5.249;11810634;5.249;12392651;5.249;8191375;5.249;15845506;5.249;10466840;5.250;14061781;5.249;9963020;5.249;11640431;5.249;9713760;5.250;9696199
5.260;12103059;5.260;10479389;5.259;10163473;5.260;11845257;5.260;12251670;5.260;8117650;5.260;15468412;5.260;10316613;5.260;13992563;5.260;10090433;5.260;11730041;5.260;9760614;5.260;9660192
5.270;12079704;5.271;10520804;5.270;10141513;5.270;11686883;5.270;12164600;5.270;8093196;5.270;15554556;5.270;10184404;5.271;13911739;5.270;10213513;5.270;11742470;5.270;9685104;5.271;9648273
5.281;12142838;5.281;10648848;5.280;10106225;5.281;11607147;5.281;12082811;5.281;8045453;5.281;15624757;5.281;9873511;5.281;13825382;5.281;10271103;5.280;11796927;5.281;9632430;5.281;9590941
5.291;12202994;5.292;10645562;5.291;10130767;5.291;11764609;5.291;12182858;5.291;8055021;5.291;15493409;5.291;9968899;5.292;13920123;5.291;10425048;5.291;11766171;5.291;9667300;5.292;9496540
5.302;12128996;5.302;10710978;5.301;10236531;5.302;11714965;5.302;12020017;5.302;8054342;5.302;15522680;5.302;10097324;5.302;13965322;5.302;10486376;5.301;11823684;5.302;9602363;5.302;9300650
5.312;12012144;5.312;10705384;5.312;10316576;5.312;11915197;5.312;12270945;5.312;8188661;5.312;15585045;5.312;10227170;5.312;14041888;5.312;10599778;5.312;11956432;5.312;9317516;5.313;9484559
5.334;12439524;5.334;10892550;5.334;10841039;5.334;12257786;5.334;12750042;5.334;8446158;5.334;16199458;5.334;10415971;5.334;14482941;5.334;11046406;5.334;12650010;5.334;9547562;5.334;9445855
5.344;12537301;5.345;10760412;5.344;10837196;5.345;12286606;5.345;13099297;5.345;8604733;5.345;16368166;5.345;10521170;5.345;14326102;5.345;10963066;5.344;12628506;5.344;9456870;5.345;9689662
5.355;12624088;5.355;10795122;5.355;10707054;5.355;12539578;5.355;13320779;5.355;8717095;5.355;16524354;5.355;10613579;5.355;14451749;5.355;11002073;5.355;12778297;5.355;9552256;5.355;9858214
5.365;13021751;5.366;10650449;5.365;10642248;5.366;12533748;5.365;13627556;5.366;8723877;5.365;16818468;5.366;10679499;5.366;14442699;5.366;11014161;5.365;12728084;5.365;9605437;5.366;9899447
5.376;13099418;5.376;10737388;5.375;10596873;5.376;12598973;5.376;13900934;5.376;8729300;5.376;16813906;5.376;10821355;5.376;14675278;5.376;10908138;5.376;12875606;5.376;9430036;5.376;10211991
5.386;13229748;5.387;10651434;5.386;10790347;5.386;12878050;5.386;13991037;5.386;8628610;5.386;16908018;5.387;10965118;5.387;14897873;5.387;11062810;5.386;12871014;5.386;9639666;5.387;10469238
5.397;13351323;5.397;10822226;5.396;10802965;5.397;13111048;5.397;13692384;5.397;8734612;5.397;16996914;5.397;11198363;5.397;14932205;5.397;10994405;5.397;13065962;5.397;9700596;5.397;10620532
5.407;13635024;5.408;11034186;5.407;11014516;5.407;13408899;5.407;13523124;5.407;8866449;5.407;16769073;5.408;11417108;5.408;15009635;5.408;11103822;5.407;13266827;5.407;9767019;5.408;10776647
5.418;13470508;5.418;11315608;5.417;11203992;5.418;13680908;5.418;13195392;5.418;8914810;5.418;16731595;5.418;11692685;5.418;15092275;5.418;11272575;5.418;13663237;5.418;9895184;5.418;10504284
5.428;13730157;5.429;11685178;5.428;11543371;5.428;14077203;5.428;12829561;5.428;8871934;5.428;16964748;5.429;11998230;5.429;15165730;5.429;11426493;5.428;13954799;5.428;10071348;5.429;10250036
5.439;14051047;5.439;11926893;5.438;11838293;5.439;14284249;5.439;12918789;5.439;8868057;5.439;17109056;5.439;12477217;5.439;15638105;5.439;11797995;5.439;14386193;5.439;10517353;5.439;10149713
