Sf1_RT;Sf1;Sf10_RT;Sf10;Sf11_RT;Sf11;Sf12_RT;Sf12;Sf13_RT;Sf13;Sf14_RT;Sf14;Sf15_RT;Sf15;Sf2_RT;Sf2;Sf3_RT;Sf3;Sf4_RT;Sf4;Sf5_RT;Sf5;Sf6_RT;Sf6;Sf7_RT;Sf7
0.359;4952641;0.359;4562625;0.359;4020882;0.359;3884977;0.359;3592171;0.359;4032666;0.359;6485514;0.359;4969332;0.360;7837010;0.359;5403507;0.359;4553466;0.359;4629433;0.360;5405488
0.370;9907546;0.370;8612511;0.370;7669029;0.370;8431335;0.370;7777837;0.370;7526111;0.370;15832414;0.370;10068134;0.370;13514940;0.370;8676330;0.370;9644582;0.370;10330274;0.370;11244530
0.380;13076742;0.380;14420120;0.380;10783535;0.380;12856088;0.380;10505782;0.380;9657430;0.380;19344980;0.380;13691347;0.381;14882464;0.380;11841679;0.380;13085116;0.380;12971898;0.381;13354339
0.391;16748648;0.391;18560002;0.391;15328095;0.391;18887008;0.391;14020222;0.391;14540653;0.391;23350044;0.391;17793764;0.391;17473784;0.391;17479572;0.391;17585680;0.391;15978816;0.391;18404710
0.401;19158682;0.401;21901148;0.401;20300896;0.401;23882228;0.401;18939126;0.401;18692624;0.401;28359904;0.401;20652242;0.402;21345420;0.401;22825492;0.401;21996516;0.401;19315696;0.402;22822528
0.412;19307690;0.412;21582660;0.412;21209580;0.412;23747048;0.412;20064616;0.412;20898592;0.412;29771900;0.412;21460372;0.412;22300128;0.412;24317636;0.412;22091956;0.412;20517212;0.412;25983136
0.422;18828966;0.422;23991672;0.422;22648180;0.422;24773036;0.422;22384464;0.422;26119096;0.422;32555868;0.422;21020912;0.423;23021560;0.422;28408090;0.422;22314468;0.422;23076256;0.423;27402978
0.433;18920164;0.433;26319964;0.433;26058126;0.433;27492270;0.433;25077244;0.433;29575694;0.433;33830600;0.433;19771696;0.433;23548116;0.433;30819340;0.433;22646804;0.433;25951960;0.433;27161084
0.443;19107312;0.443;25198304;0.443;26397118;0.443;27116544;0.443;24630704;0.443;27828336;0.443;32062994;0.443;18477164;0.444;24269048;0.443;29289024;0.443;22570026;0.443;26536110;0.444;26274704
0.454;17079424;0.454;20958800;0.454;22653680;0.454;22294464;0.454;21555084;0.454;22615874;0.454;28084104;0.454;16645538;0.454;21726470;0.454;25016548;0.454;20677628;0.454;23635024;0.454;24052300
0.464;14983904;0.464;15787090;0.464;17298380;0.464;17581636;0.464;16548308;0.464;17488892;0.464;22987690;0.464;15434212;0.464;19113940;0.464;19316912;0.464;16930928;0.464;19053684;0.464;20231780
0.475;13087885;0.475;12866964;0.475;13488164;0.475;13843464;0.475;12835605;0.475;14063256;0.475;19789500;0.475;13573110;0.475;16098424;0.475;15715221;0.475;14232867;0.475;14355820;0.475;16380682
0.485;11949277;0.485;11978380;0.485;12049243;0.485;11660129;0.485;10954062;0.485;12633164;0.485;18002784;0.485;12845764;0.486;14647971;0.485;14746327;0.485;12689529;0.485;12343800;0.485;14421149
0.496;10884986;0.496;12478088;0.496;11794564;0.496;11511891;0.496;10765324;0.496;12244285;0.496;17033536;0.496;12034559;0.496;13725237;0.496;14740003;0.496;11643204;0.496;12142663;0.496;14072530
0.506;10477037;0.506;12476565;0.506;12360906;0.506;12102325;0.506;11775358;0.506;11752281;0.506;17185348;0.506;11418233;0.507;13310081;0.506;14439815;0.506;11468589;0.506;13467974;0.506;15730197
0.516;10145467;0.517;11798598;0.516;12936288;0.516;12727020;0.517;12149009;0.516;11440261;0.516;16747793;0.516;11154171;0.517;12686275;0.516;13647343;0.516;11422770;0.516;14140281;0.517;16677551
0.538;12203280;0.538;14072072;0.538;13525419;0.538;14412496;0.538;12668840;0.538;13338498;0.538;16800864;0.538;13112372;0.539;13396524;0.538;15367117;0.538;12641805;0.538;13117129;0.539;16587518
0.549;10272612;0.549;11426828;0.549;10261661;0.549;12605313;0.549;9804732;0.549;11022921;0.549;14280691;0.549;11521977;0.549;10900333;0.549;12070400;0.549;12080361;0.549;10190249;0.549;13320471
0.559;8619239;0.559;8889365;0.559;8842973;0.559;11599364;0.559;7032401;0.559;9203408;0.559;10340415;0.559;10422042;0.560;8110260;0.559;7644016;0.559;12195386;0.559;8809113;0.560;12364576
0.570;13510371;0.570;11446255;0.570;12595255;0.570;12783686;0.570;11001613;0.570;11699776;0.570;12773700;0.570;14489319;0.570;8664813;0.570;9778123;0.570;13265283;0.570;12849009;0.570;16502948
